onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	Unrelated	1	1.086	gravel	pants	turkey	n/a
8.91	4.91	Related	1	0.922	driver	silent	quiet	2.0
13.82	4.91	Related	1	0.714	tag	sock	shoe	2.0
18.73	4.91	Unrelated	1	0.774	able	mother	party	n/a
23.64	4.91	Related	1	1.068	throw	weapon	catch	1.0
28.55	4.91	Related	1	0.719	tablet	seafood	shrimp	2.0
33.46	4.91	Related	1	1.236	question	behind	answer	1.0
38.37	4.91	Unrelated	1	1.417	club	paid	thinking	n/a
43.28	4.91	Related	1	1.26	syrup	flown	pancakes	1.0
48.19	4.91	Unrelated	1	1.251	nursery	curtain	roar	n/a
57.1	4.91	control	1	0.899	\ /	/ \	\ /	1.0
62.01	4.91	control	1	0.809	\ /	/ \	/ \	2.0
66.92	4.91	control	1	0.868	\ \	\ /	/ \	n/a
71.83	4.91	control	1	0.909	/ /	/ \	/ /	1.0
76.74	4.91	control	1	0.769	\ /	/ \	/ /	n/a
81.65	4.91	control	1	1.568	/ \	/ /	\ /	n/a
86.56	4.91	control	1	0.75	\ \	\ /	\ \	1.0
91.47	4.91	control	1	0.791	/ /	/ \	\ \	n/a
96.38	4.91	control	1	0.876	/ /	/ \	/ \	2.0
101.29	4.91	control	1	1.005	\ \	\ /	\ /	2.0
110.2	4.91	Related	1	0.763	dog	vote	cat	1.0
115.11	4.91	Related	1	1.363	razor	drag	blade	1.0
120.02	4.91	Unrelated	1	1.388	choppy	bandit	thorn	n/a
124.93	4.91	Related	1	1.083	finish	recall	end	1.0
129.84	4.91	Unrelated	1	1.4	chunk	hoof	stitch	n/a
134.75	4.91	Unrelated	1	1.219	roller	kettle	chalk	n/a
139.66	4.91	Related	1	0.779	peanut	oyster	clam	2.0
144.57	4.91	Unrelated	1	1.489	stream	guy	rear	n/a
149.48	4.91	Related	1	0.679	priest	sketch	draw	2.0
154.39	4.91	Related	1	0.635	stinging	washer	dryer	2.0
163.3	4.91	control	1	0.871	\ \	/ /	/ \	n/a
168.21	4.91	control	1	1.146	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.983	\ /	\ \	\ /	1.0
178.03	4.91	control	1	0.83	/ /	\ \	\ /	n/a
182.94	4.91	control	1	0.79	/ /	\ \	\ \	2.0
187.85	4.91	control	1	1.691	/ \	/ /	/ /	2.0
192.76	4.91	control	1	1.355	/ /	\ \	/ /	1.0
197.67	4.91	control	1	0.934	/ \	/ /	/ \	1.0
202.58	4.91	control	1	0.921	/ \	\ \	/ /	n/a
207.49	4.91	control	1	1.068	\ /	/ /	/ \	n/a
216.4	4.91	Related	1	0.667	tenth	circus	clown	2.0
221.31	4.91	Unrelated	1	1.189	blanket	cried	split	n/a
226.22	4.91	Related	1	0.942	dipping	smudge	smear	2.0
231.13	4.91	Unrelated	1	0.942	wing	hunter	lemon	n/a
236.04	4.91	Related	1	0.991	rib	jello	pudding	2.0
240.95	4.91	Related	1	1.791	server	flashy	waiter	1.0
245.86	4.91	Related	1	1.055	dime	fuss	nickel	1.0
250.77	4.91	Unrelated	1	1.254	pillow	bounce	grinding	n/a
255.68	4.91	Related	0	1.602	left	got	right	1.0
260.59	4.91	Unrelated	1	1.376	cream	pipe	grip	n/a
269.5	4.91	control	1	0.97	/ \	\ \	\ \	2.0
274.41	4.91	control	1	1.017	/ /	\ /	/ \	n/a
279.32	4.91	control	1	1.103	/ /	/ \	\ \	n/a
284.23	4.91	control	1	1.329	\ \	/ /	\ \	1.0
289.14	4.91	control	1	0.814	\ \	/ /	/ /	2.0
