onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P-	1	1.147	spies	rasp	drown	n/a
8.91	4.91	O-P-	1	1.156	harp	cruised	runt	n/a
13.82	4.91	O+P+	1	1.113	slave	hard	yard	2.0
18.73	4.91	O-P+	1	1.439	click	psalm	prom	n/a
23.64	4.91	O-P+	0	1.26	white	guilt	height	n/a
28.55	4.91	O+P+	0	1.335	temple	spend	tend	2.0
33.46	4.91	O-P-	1	1.157	lust	junk	bats	n/a
38.37	4.91	O+P+	1	1.071	team	pure	dream	1.0
43.28	4.91	O-P-	1	1.95	stack	castle	mint	n/a
48.19	4.91	O-P+	1	1.88	half	flag	graph	n/a
57.1	4.91	control	1	1.081	\ \	\ /	\ /	2.0
62.01	4.91	control	1	1.078	\ /	/ \	/ \	2.0
66.92	4.91	control	1	1.189	/ /	/ \	\ \	n/a
71.83	4.91	control	1	1.113	/ /	/ \	/ /	1.0
76.74	4.91	control	1	1.075	\ \	\ /	/ \	n/a
81.65	4.91	control	1	1.003	\ /	/ \	\ /	1.0
86.56	4.91	control	1	0.956	\ /	/ \	/ /	n/a
91.47	4.91	control	1	1.09	/ /	/ \	/ \	2.0
96.38	4.91	control	1	0.975	/ \	/ /	\ /	n/a
101.29	4.91	control	1	0.884	\ \	\ /	\ \	1.0
110.2	4.91	O-P-	1	1.159	dung	squirm	cramp	n/a
115.11	4.91	O+P+	1	0.66	fool	cash	tool	1.0
120.02	4.91	O-P+	1	1.171	dense	crowned	hound	n/a
124.93	4.91	O-P+	1	1.522	mime	smash	rhyme	n/a
129.84	4.91	O+P+	1	1.019	ample	purse	nurse	2.0
134.75	4.91	O-P-	1	1.397	smooth	beard	uncle	n/a
139.66	4.91	O-P-	1	1.265	mold	twice	jack	n/a
144.57	4.91	O+P+	1	1.38	start	mind	part	1.0
149.48	4.91	O-P-	1	1.293	cracked	bunch	boots	n/a
154.39	4.91	O-P+	1	1.845	check	prize	rise	n/a
163.3	4.91	control	1	0.877	\ \	/ /	/ \	n/a
168.21	4.91	control	1	1.11	\ /	\ \	\ \	2.0
173.12	4.91	control	1	1.287	/ /	\ \	\ /	n/a
178.03	4.91	control	1	1.166	\ /	/ /	/ \	n/a
182.94	4.91	control	1	1.024	/ /	\ \	\ \	2.0
187.85	4.91	control	1	1.105	\ /	\ \	\ /	1.0
192.76	4.91	control	1	1.023	/ \	\ \	/ /	n/a
197.67	4.91	control	1	1.061	/ /	\ \	/ /	1.0
202.58	4.91	control	1	0.982	/ \	/ /	/ /	2.0
207.49	4.91	control	1	0.916	/ \	/ /	/ \	1.0
216.4	4.91	O-P+	1	1.716	duct	fused	bruised	n/a
221.31	4.91	O-P+	1	1.21	skim	blur	gym	n/a
226.22	4.91	O+P+	1	0.719	sawed	puke	flawed	1.0
231.13	4.91	O-P-	1	1.151	slash	zoos	snag	n/a
236.04	4.91	O-P-	1	1.075	groove	dwarf	lint	n/a
240.95	4.91	O+P+	1	1.009	stamp	glaze	blaze	2.0
245.86	4.91	O-P-	1	1.255	trust	blame	wind	n/a
250.77	4.91	O+P+	1	1.7	harm	lift	swift	2.0
255.68	4.91	O-P+	1	2.123	planned	sludge	bland	n/a
260.59	4.91	O-P-	1	2.021	racks	skit	tripe	n/a
269.5	4.91	control	1	1.13	/ \	\ \	\ \	2.0
274.41	4.91	control	1	1.049	/ /	\ /	/ \	n/a
279.32	4.91	control	1	0.912	/ /	/ \	\ \	n/a
284.23	4.91	control	1	1.077	\ \	/ /	\ \	1.0
289.14	4.91	control	1	1.027	\ /	/ \	/ /	n/a
294.05	4.91	control	0	1.545	/ /	\ /	\ /	2.0
298.96	4.91	control	1	0.875	/ /	\ /	/ /	1.0
303.87	4.91	control	1	0.993	\ \	/ \	/ /	n/a
308.78	4.91	control	1	1.135	\ \	/ /	/ /	2.0
313.69	4.91	control	1	0.934	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	0.999	climb	spit	scar	n/a
327.51	4.91	O-P-	1	1.025	boost	woke	dutch	n/a
332.42	4.91	O+P+	1	0.775	gland	price	stand	1.0
337.33	4.91	O-P-	1	0.898	burnt	quack	barge	n/a
342.24	4.91	O+P+	1	0.933	dunk	spoof	flunk	1.0
347.15	4.91	O-P+	1	1.792	your	they	more	n/a
352.06	4.91	O-P+	0	2.2	gulp	groom	womb	n/a
356.97	4.91	O+P+	1	1.02	shell	blade	shade	2.0
361.88	4.91	O-P+	1	1.331	flick	fraud	thawed	n/a
366.79	4.91	O-P-	1	1.048	lies	gable	mall	n/a
375.7	4.91	control	1	1.187	\ \	\ /	/ \	n/a
380.61	4.91	control	1	1.007	/ /	\ \	\ /	n/a
385.52	4.91	control	1	1.032	/ \	\ /	\ /	2.0
390.43	4.91	control	1	1.112	\ \	/ \	/ \	2.0
395.34	4.91	control	1	0.991	\ \	/ /	\ /	n/a
400.25	4.91	control	1	0.966	/ \	\ /	/ \	1.0
405.16	4.91	control	1	1.02	\ \	/ \	\ \	1.0
410.07	4.91	control	1	1.136	\ /	/ /	/ /	2.0
414.98	4.91	control	1	1.116	/ \	/ /	\ /	n/a
419.89	4.91	control	1	0.953	\ /	/ /	\ /	1.0
428.8	4.91	O-P+	1	1.213	strewn	deem	swoon	n/a
433.71	4.91	O-P-	1	1.243	shore	maybe	heart	n/a
438.62	4.91	O+P+	1	0.85	pray	bloom	gloom	2.0
443.53	4.91	O-P+	1	2.059	plea	hatch	spree	n/a
448.44	4.91	O+P+	1	1.085	plump	twitch	stitch	2.0
453.35	4.91	O-P-	1	1.084	snows	pouch	clam	n/a
458.26	4.91	O-P-	1	1.156	knock	burn	grab	n/a
463.17	4.91	O+P+	1	1.39	snail	mask	frail	1.0
468.08	4.91	O-P+	0	1.483	male	mean	queen	n/a
472.99	4.91	O-P-	1	1.11	coach	tooth	rank	n/a
481.9	4.91	control	1	0.776	/ /	\ /	\ \	n/a
486.81	4.91	control	1	0.858	\ /	\ \	\ \	2.0
491.72	4.91	control	1	0.883	/ \	\ \	/ /	n/a
496.63	4.91	control	1	1.249	\ \	\ /	\ \	1.0
501.54	4.91	control	1	1.171	/ \	/ /	/ /	2.0
506.45	4.91	control	1	1.106	\ \	/ \	\ /	n/a
511.36	4.91	control	1	0.82	/ /	/ \	/ /	1.0
516.27	4.91	control	1	1.153	\ /	/ /	\ \	n/a
521.18	4.91	control	1	0.979	\ \	/ \	/ \	2.0
526.09	4.91	control	0	1.034	/ \	\ \	/ \	1.0
