onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	Unrelated	1	1.642	gravel	pants	turkey	n/a
8.91	4.91	Related	1	1.026	driver	silent	quiet	2.0
13.82	4.91	Related	1	0.806	tag	sock	shoe	2.0
18.73	4.91	Unrelated	1	1.251	able	mother	party	n/a
23.64	4.91	Related	1	1.108	throw	weapon	catch	1.0
28.55	4.91	Related	1	0.713	tablet	seafood	shrimp	2.0
33.46	4.91	Related	1	1.164	question	behind	answer	1.0
38.37	4.91	Unrelated	1	1.57	club	paid	thinking	n/a
43.28	4.91	Related	1	1.174	syrup	flown	pancakes	1.0
48.19	4.91	Unrelated	1	1.102	nursery	curtain	roar	n/a
57.1	4.91	control	1	0.885	\ /	/ \	\ /	1.0
62.01	4.91	control	1	1.042	\ /	/ \	/ \	2.0
66.92	4.91	control	1	1.04	\ \	\ /	/ \	n/a
71.83	4.91	control	0	0.925	/ /	/ \	/ /	1.0
76.74	4.91	control	1	0.847	\ /	/ \	/ /	n/a
81.65	4.91	control	0	0.954	/ \	/ /	\ /	n/a
86.56	4.91	control	1	0.827	\ \	\ /	\ \	1.0
91.47	4.91	control	1	1.302	/ /	/ \	\ \	n/a
96.38	4.91	control	1	0.995	/ /	/ \	/ \	2.0
101.29	4.91	control	1	1.115	\ \	\ /	\ /	2.0
110.2	4.91	Related	1	1.196	dog	vote	cat	1.0
115.11	4.91	Related	1	1.06	razor	drag	blade	1.0
120.02	4.91	Unrelated	1	1.275	choppy	bandit	thorn	n/a
124.93	4.91	Related	1	1.06	finish	recall	end	1.0
129.84	4.91	Unrelated	1	1.921	chunk	hoof	stitch	n/a
134.75	4.91	Unrelated	1	1.247	roller	kettle	chalk	n/a
139.66	4.91	Related	1	0.898	peanut	oyster	clam	2.0
144.57	4.91	Unrelated	1	1.559	stream	guy	rear	n/a
149.48	4.91	Related	0	2.101	priest	sketch	draw	2.0
154.39	4.91	Related	1	0.983	stinging	washer	dryer	2.0
163.3	4.91	control	1	1.07	\ \	/ /	/ \	n/a
168.21	4.91	control	1	0.89	\ /	\ \	\ \	2.0
173.12	4.91	control	1	1.087	\ /	\ \	\ /	1.0
178.03	4.91	control	1	1.092	/ /	\ \	\ /	n/a
182.94	4.91	control	1	1.018	/ /	\ \	\ \	2.0
187.85	4.91	control	1	1.039	/ \	/ /	/ /	2.0
192.76	4.91	control	1	0.871	/ /	\ \	/ /	1.0
197.67	4.91	control	0	1.047	/ \	/ /	/ \	1.0
202.58	4.91	control	1	0.729	/ \	\ \	/ /	n/a
207.49	4.91	control	1	1.209	\ /	/ /	/ \	n/a
216.4	4.91	Related	1	0.936	tenth	circus	clown	2.0
221.31	4.91	Unrelated	1	0.962	blanket	cried	split	n/a
226.22	4.91	Related	1	1.185	dipping	smudge	smear	2.0
231.13	4.91	Unrelated	1	1.181	wing	hunter	lemon	n/a
236.04	4.91	Related	1	1.182	rib	jello	pudding	2.0
240.95	4.91	Related	1	1.046	server	flashy	waiter	1.0
245.86	4.91	Related	1	1.018	dime	fuss	nickel	1.0
250.77	4.91	Unrelated	1	0.823	pillow	bounce	grinding	n/a
255.68	4.91	Related	1	0.736	left	got	right	1.0
260.59	4.91	Unrelated	0	0.476	cream	pipe	grip	n/a
269.5	4.91	control	1	0.967	/ \	\ \	\ \	2.0
274.41	4.91	control	0	1.019	/ /	\ /	/ \	n/a
279.32	4.91	control	1	1.022	/ /	/ \	\ \	n/a
284.23	4.91	control	1	0.998	\ \	/ /	\ \	1.0
289.14	4.91	control	1	0.947	\ \	/ /	/ /	2.0
294.05	4.91	control	1	0.944	/ /	\ /	\ /	2.0
298.96	4.91	control	0	-0.004	\ /	/ \	/ /	n/a
303.87	4.91	control	1	0.976	/ \	\ \	/ \	1.0
308.78	4.91	control	1	1.163	/ /	\ /	/ /	1.0
313.69	4.91	control	1	1.083	\ \	/ \	/ /	n/a
322.6	4.91	Related	1	0.944	yours	arrive	mine	1.0
327.51	4.91	Unrelated	0	2.891	took	system	head	n/a
332.42	4.91	Related	1	1.328	how	little	big	2.0
337.33	4.91	Unrelated	0	n/a	scar	mister	tunnel	n/a
342.24	4.91	Unrelated	1	1.178	rich	store	pointed	n/a
347.15	4.91	Related	1	0.997	angle	achieve	goal	2.0
352.06	4.91	Related	1	1.231	racket	stealth	tennis	1.0
356.97	4.91	Unrelated	1	1.986	tangle	pretend	barker	n/a
361.88	4.91	Related	1	0.89	glue	lifting	sticky	1.0
366.79	4.91	Related	1	1.207	bush	thunder	lightning	2.0
375.7	4.91	control	1	1.102	\ \	\ /	/ \	n/a
380.61	4.91	control	1	1.024	/ \	\ /	\ /	2.0
385.52	4.91	control	1	1.873	/ \	/ /	\ /	n/a
390.43	4.91	control	1	1.157	\ /	/ /	\ /	1.0
395.34	4.91	control	1	0.939	\ \	/ \	/ \	2.0
400.25	4.91	control	1	0.964	\ \	/ /	\ /	n/a
405.16	4.91	control	1	0.82	\ \	/ \	\ \	1.0
410.07	4.91	control	1	0.803	/ \	\ /	/ \	1.0
414.98	4.91	control	1	1.043	\ /	/ /	/ /	2.0
419.89	4.91	control	1	0.984	/ /	\ \	\ /	n/a
428.8	4.91	Related	0	1.32	lend	instinct	borrow	1.0
433.71	4.91	Unrelated	1	1.116	hearing	formed	bottle	n/a
438.62	4.91	Related	1	0.35	mask	cheese	cracker	2.0
443.53	4.91	Related	1	0.66	plenty	motion	movement	2.0
448.44	4.91	Related	1	0.996	cow	silver	gold	2.0
453.35	4.91	Unrelated	1	1.14	tilting	jewel	moan	n/a
458.26	4.91	Unrelated	0	n/a	corn	pencil	blame	n/a
463.17	4.91	Related	1	1.077	thin	jack	fat	1.0
468.08	4.91	Unrelated	1	1.065	starter	pigeon	gamble	n/a
472.99	4.91	Related	0	n/a	temper	deaf	tantrum	1.0
481.9	4.91	control	1	0.89	/ \	/ /	/ /	2.0
486.81	4.91	control	1	1.077	\ \	/ \	/ \	2.0
491.72	4.91	control	1	0.952	\ \	/ \	\ /	n/a
496.63	4.91	control	1	1.125	/ /	/ \	/ /	1.0
501.54	4.91	control	1	0.934	\ /	\ \	\ \	2.0
506.45	4.91	control	1	1.253	\ /	/ /	\ \	n/a
511.36	4.91	control	1	0.951	/ \	\ \	/ /	n/a
516.27	4.91	control	1	1.313	/ \	\ \	/ \	1.0
521.18	4.91	control	0	0.916	\ \	\ /	\ \	1.0
526.09	4.91	control	0	0.955	/ /	\ /	\ \	n/a
