onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P+	1	1.581	stressed	spittle	jest	1.0
8.91	4.91	O-P-	1	1.325	shows	seep	pledge	n/a
13.82	4.91	O+P+	1	1.231	huddle	stung	rung	2.0
18.73	4.91	O-P-	1	1.183	bath	cope	leads	n/a
23.64	4.91	O-P+	1	1.22	quote	shut	throat	1.0
28.55	4.91	O-P+	1	1.247	dance	curve	serve	2.0
33.46	4.91	O-P-	1	1.214	ought	pace	king	n/a
38.37	4.91	O+P+	1	1.177	free	took	three	1.0
43.28	4.91	O+P+	1	1.211	hoop	weave	heave	2.0
48.19	4.91	O-P-	1	1.112	debt	gaze	grill	n/a
57.1	4.91	control	1	1.214	/ /	/ \	\ \	n/a
62.01	4.91	control	1	1.124	\ \	\ /	/ \	n/a
66.92	4.91	control	1	1.121	/ /	/ \	/ /	1.0
71.83	4.91	control	1	1.174	\ /	/ \	/ /	n/a
76.74	4.91	control	1	1.194	\ \	\ /	\ /	2.0
81.65	4.91	control	1	1.274	\ /	/ \	\ /	1.0
86.56	4.91	control	1	1.065	\ \	\ /	\ \	1.0
91.47	4.91	control	1	1.103	/ /	/ \	/ \	2.0
96.38	4.91	control	1	1.024	\ /	/ \	/ \	2.0
101.29	4.91	control	1	1.042	/ \	/ /	\ /	n/a
110.2	4.91	O+P+	1	1.174	blooms	prank	grooms	1.0
115.11	4.91	O-P-	1	1.165	mild	weep	drag	n/a
120.02	4.91	O-P-	1	1.318	people	girl	what	n/a
124.93	4.91	O+P+	1	1.16	wrong	round	ground	2.0
129.84	4.91	O-P+	1	1.068	clip	weed	plead	2.0
134.75	4.91	O-P-	1	1.208	shine	skip	cute	n/a
139.66	4.91	O-P-	1	1.185	town	gain	five	n/a
144.57	4.91	O-P+	1	1.269	throats	startle	quotes	1.0
149.48	4.91	O+P+	1	1.285	malt	coin	halt	1.0
154.39	4.91	O-P+	1	1.237	broth	sneer	smear	2.0
163.3	4.91	control	1	1.056	/ \	/ /	/ \	1.0
168.21	4.91	control	1	1.103	\ /	\ \	\ \	2.0
173.12	4.91	control	1	1.073	\ /	\ \	\ /	1.0
178.03	4.91	control	1	0.998	/ \	\ \	/ /	n/a
182.94	4.91	control	1	1.073	/ /	\ \	/ /	1.0
187.85	4.91	control	1	1.049	/ /	\ \	\ /	n/a
192.76	4.91	control	1	1.007	/ /	\ \	\ \	2.0
197.67	4.91	control	1	1.166	\ /	/ /	/ \	n/a
202.58	4.91	control	1	1.044	\ \	/ /	/ \	n/a
207.49	4.91	control	1	1.12	/ \	/ /	/ /	2.0
216.4	4.91	O+P+	1	1.203	squash	stacked	hacked	2.0
221.31	4.91	O-P-	1	1.163	wharf	gleam	dell	n/a
226.22	4.91	O+P+	1	1.136	black	fish	track	1.0
231.13	4.91	O+P+	1	1.091	book	floor	door	2.0
236.04	4.91	O-P+	1	1.212	clause	geese	niece	2.0
240.95	4.91	O-P-	1	1.159	blitz	vault	dump	n/a
245.86	4.91	O-P-	1	1.338	trait	vine	trance	n/a
250.77	4.91	O-P+	1	1.468	swirl	knit	pearl	1.0
255.68	4.91	O-P+	0	1.445	touch	than	such	1.0
260.59	4.91	O-P-	1	1.291	glade	clips	scrape	n/a
269.5	4.91	control	1	1.058	/ /	\ /	/ /	1.0
274.41	4.91	control	1	1.112	/ /	/ \	\ \	n/a
279.32	4.91	control	1	1.069	\ \	/ \	/ /	n/a
284.23	4.91	control	0	1.263	/ \	\ \	\ \	2.0
289.14	4.91	control	1	1.04	/ /	\ /	\ /	2.0
294.05	4.91	control	1	1.078	/ /	\ /	/ \	n/a
298.96	4.91	control	1	1.083	\ \	/ /	\ \	1.0
303.87	4.91	control	1	1.093	\ /	/ \	/ /	n/a
308.78	4.91	control	1	1.052	\ \	/ /	/ /	2.0
313.69	4.91	control	1	1.155	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	1.27	crop	stall	gulf	n/a
327.51	4.91	O+P+	1	1.245	knee	grass	tree	1.0
332.42	4.91	O+P+	1	1.169	dull	since	prince	2.0
337.33	4.91	O-P-	1	1.18	bleak	mice	dusk	n/a
342.24	4.91	O-P-	1	1.242	math	verb	spire	n/a
347.15	4.91	O+P+	0	1.242	knob	swan	blob	1.0
352.06	4.91	O-P-	1	1.153	pound	path	drop	n/a
356.97	4.91	O-P+	1	1.251	streak	sigh	meek	1.0
361.88	4.91	O-P+	1	1.084	wasp	rinse	mince	2.0
366.79	4.91	O-P+	1	1.197	want	caught	thought	2.0
375.7	4.91	control	1	1.07	/ \	\ /	\ /	2.0
380.61	4.91	control	1	1.096	\ \	\ /	/ \	n/a
385.52	4.91	control	1	1.032	\ /	/ /	/ /	2.0
390.43	4.91	control	1	1.189	\ \	/ /	\ /	n/a
395.34	4.91	control	1	1.098	/ \	\ /	/ \	1.0
400.25	4.91	control	1	1.115	\ \	/ \	/ \	2.0
405.16	4.91	control	1	1.19	\ /	/ /	\ /	1.0
410.07	4.91	control	1	1.185	\ \	/ \	\ \	1.0
414.98	4.91	control	1	1.168	/ \	/ /	\ /	n/a
419.89	4.91	control	1	1.1	/ /	\ \	\ /	n/a
428.8	4.91	O-P-	1	1.217	thrush	hauled	torch	n/a
433.71	4.91	O+P+	1	1.119	drowned	coyote	frowned	1.0
438.62	4.91	O+P+	1	1.125	stance	scorn	sworn	2.0
443.53	4.91	O-P+	1	1.202	dealt	close	felt	1.0
448.44	4.91	O-P-	1	1.282	glow	saint	string	n/a
453.35	4.91	O-P-	1	1.169	reared	slang	flex	n/a
458.26	4.91	O-P+	1	1.21	bowl	view	whole	1.0
463.17	4.91	O+P+	1	1.217	straw	wage	rage	2.0
468.08	4.91	O-P-	1	1.186	stark	hoot	bounce	n/a
472.99	4.91	O-P+	1	1.174	budge	lurk	jerk	2.0
481.9	4.91	control	1	1.023	/ /	/ \	/ /	1.0
486.81	4.91	control	1	1.138	\ \	\ /	\ \	1.0
491.72	4.91	control	1	1.084	\ \	/ \	/ \	2.0
496.63	4.91	control	1	1.099	/ /	\ /	\ \	n/a
501.54	4.91	control	1	1.022	/ \	/ /	/ /	2.0
506.45	4.91	control	1	1.142	\ \	/ \	\ /	n/a
511.36	4.91	control	1	1.159	\ /	/ /	\ \	n/a
516.27	4.91	control	1	1.063	/ \	\ \	/ \	1.0
521.18	4.91	control	1	1.104	\ /	\ \	\ \	2.0
526.09	4.91	control	1	1.149	/ \	\ \	/ /	n/a
