onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	O-P+	1	1.641	youth	bridge	truth	n/a
8.93	4.93	O-P+	1	1.645	june	term	firm	n/a
13.86	4.93	O+P+	1	1.55	hold	plant	cold	1.0
18.79	4.93	O-P-	1	0.902	client	flung	trick	n/a
23.72	4.93	O+P+	1	0.801	slept	cone	bone	2.0
28.65	4.93	O-P-	1	1.065	fight	look	show	n/a
33.58	4.93	O-P-	1	1.532	yelp	stirred	hilt	n/a
38.51	4.93	O+P+	1	0.757	wife	west	best	2.0
43.44	4.93	O-P-	1	0.856	flown	weave	latch	n/a
48.37	4.93	O-P+	0	1.154	beak	lance	sleek	n/a
57.3	4.85	control	1	1.362	500	700	700	2.0
62.15	4.85	control	1	1.432	300	700	700	2.0
67.0	4.85	control	1	0.946	300	500	700	n/a
71.85	4.85	control	1	1.231	300	500	300	1.0
76.7	4.85	control	1	0.981	500	300	700	n/a
81.55	4.85	control	1	0.911	700	300	700	1.0
86.4	4.85	control	1	1.109	500	700	300	n/a
91.25	4.85	control	1	0.92	500	300	300	2.0
96.1	4.85	control	1	0.953	700	300	500	n/a
100.95	4.85	control	1	0.8	700	500	700	1.0
109.8	4.93	O-P+	0	1.955	toys	lore	poise	n/a
114.73	4.93	O-P-	1	0.933	layer	scream	snap	n/a
119.66	4.93	O+P+	1	1.66	park	corn	born	2.0
124.59	4.93	O-P+	1	1.439	snug	froze	blows	n/a
129.52	4.93	O-P-	1	0.888	healed	reek	fling	n/a
134.45	4.93	O+P+	0	1.878	scanned	brisk	tanned	1.0
139.38	4.93	O-P+	1	1.421	slab	stew	glue	n/a
144.31	4.93	O+P+	1	1.894	hurled	slouch	curled	1.0
149.24	4.93	O-P-	1	1.296	strayed	pawn	carve	n/a
154.17	4.93	O-P-	1	1.079	toil	shrunk	hoist	n/a
163.1	4.85	control	1	0.924	700	500	300	n/a
167.95	4.85	control	1	1.112	700	300	300	2.0
172.8	4.85	control	1	0.911	500	300	700	n/a
177.65	4.85	control	1	0.899	700	300	500	n/a
182.5	4.85	control	1	0.773	300	500	500	2.0
187.35	4.85	control	1	1.163	300	700	300	1.0
192.2	4.85	control	1	0.783	300	700	500	n/a
197.05	4.85	control	0	1.414	500	300	500	1.0
201.9	4.85	control	1	0.912	700	500	500	2.0
206.75	4.85	control	1	1.083	500	700	500	1.0
215.6	4.93	O-P-	1	0.985	plum	wince	hick	n/a
220.53	4.93	O-P+	1	1.948	left	style	while	n/a
225.46	4.93	O+P+	0	1.963	thud	boom	stud	1.0
230.39	4.93	O-P+	0	1.473	lord	rush	ward	n/a
235.32	4.93	O-P+	1	1.338	line	fast	sign	n/a
240.25	4.93	O+P+	0	2.021	built	vote	note	2.0
245.18	4.93	O-P-	1	1.454	whim	skies	plush	n/a
250.11	4.93	O-P-	1	1.278	vents	swum	grail	n/a
255.04	4.93	O+P+	1	1.94	thank	gift	shift	2.0
259.97	4.93	O-P-	1	1.551	mine	stop	single	n/a
268.9	4.85	control	1	0.984	500	700	700	2.0
273.75	4.85	control	1	1.304	300	500	700	n/a
278.6	4.85	control	1	1.74	700	300	500	n/a
283.45	4.85	control	1	0.729	700	300	700	1.0
288.3	4.85	control	1	1.153	500	300	300	2.0
293.15	4.85	control	1	1.875	500	300	700	n/a
298.0	4.85	control	1	1.17	300	500	300	1.0
302.85	4.85	control	0	1.667	500	700	300	n/a
307.7	4.85	control	1	1.876	300	700	700	2.0
312.55	4.85	control	1	0.93	700	500	700	1.0
321.4	4.93	O-P-	1	1.119	lunge	tack	twelfth	n/a
326.33	4.93	O+P+	1	0.993	twin	moat	goat	2.0
331.26	4.93	O-P+	1	2.489	stub	coughed	loft	n/a
336.19	4.93	O-P+	1	1.434	clerk	house	work	n/a
341.12	4.93	O+P+	1	2.364	jeep	crown	sheep	1.0
346.05	4.93	O-P-	1	1.889	idle	dumb	grey	n/a
350.98	4.93	O-P-	1	1.41	scoff	bribe	splice	n/a
355.91	4.93	O+P+	0	1.835	squeeze	lump	freeze	1.0
360.84	4.93	O-P+	1	1.457	join	school	rule	n/a
365.77	4.93	O-P-	1	1.079	shrine	sting	probe	n/a
374.7	4.85	control	1	1.245	700	500	300	n/a
379.55	4.85	control	1	1.257	700	300	500	n/a
384.4	4.85	control	0	1.454	300	500	500	2.0
389.25	4.85	control	1	1.802	700	500	500	2.0
394.1	4.85	control	1	0.977	500	300	700	n/a
398.95	4.85	control	1	1.321	500	300	500	1.0
403.8	4.85	control	0	1.753	500	700	500	1.0
408.65	4.85	control	1	1.23	700	300	300	2.0
413.5	4.85	control	1	1.561	300	700	500	n/a
418.35	4.85	control	1	1.177	300	700	300	1.0
427.2	4.93	O-P-	1	0.878	baffle	whacked	grit	n/a
432.13	4.93	O-P+	1	2.188	strung	snort	quart	n/a
437.06	4.93	O-P-	1	0.965	storm	wire	guess	n/a
441.99	4.93	O+P+	0	2.396	loud	eighth	cloud	1.0
446.92	4.93	O-P-	1	1.301	lend	pill	quart	n/a
451.85	4.93	O+P+	1	1.554	glum	licked	kicked	2.0
456.78	4.93	O-P+	1	1.647	rough	vague	stuff	n/a
461.71	4.93	O-P-	1	1.447	foot	snake	thin	n/a
466.64	4.93	O+P+	1	1.639	soil	slow	grow	2.0
471.57	4.93	O-P+	1	1.926	hope	colt	soap	n/a
480.5	4.85	control	1	0.991	700	300	500	n/a
485.35	4.85	control	0	1.482	300	700	700	2.0
