onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	Grammatical	1	1.307	sheep	are	counted	n/a
8.93	4.93	Ungrammatical	1	0.419	athlete	are	stretch	n/a
13.86	4.93	Ungrammatical	1	1.165	foxes	had	clever	n/a
18.79	4.93	Grammatical	1	0.77	shopper	is	jealous	n/a
23.72	4.93	Grammatical	1	0.943	bulls	were	huffing	n/a
28.65	4.93	Ungrammatical	1	0.4	brides	was	return	n/a
33.58	4.93	Grammatical	1	0.8	knights	were	fighting	n/a
38.51	4.93	Ungrammatical	1	1.419	customer	has	guessing	n/a
43.44	4.93	Grammatical	1	0.961	visitors	have	gathered	n/a
48.37	4.93	Grammatical	1	1.342	singer	is	praised	n/a
57.3	4.85	control	1	0.831	500	700	700	2.0
62.15	4.85	control	1	0.871	700	300	700	1.0
67.0	4.85	control	1	1.071	500	700	300	n/a
71.85	4.85	control	1	1.143	300	500	700	n/a
76.7	4.85	control	1	0.967	300	700	700	2.0
81.55	4.85	control	1	0.772	700	500	700	1.0
86.4	4.85	control	1	0.907	700	300	500	n/a
91.25	4.85	control	1	0.782	300	500	300	1.0
96.1	4.85	control	1	0.847	500	300	700	n/a
100.95	4.85	control	1	1.16	500	300	300	2.0
109.8	4.93	Ungrammatical	1	1.301	police	can	searched	n/a
114.73	4.93	Grammatical	1	1.413	principals	have	agreed	n/a
119.66	4.93	Ungrammatical	1	1.037	rabbits	could	hopped	n/a
124.59	4.93	Grammatical	1	1.062	player	has	changed	n/a
129.52	4.93	Grammatical	1	1.222	scientists	are	trained	n/a
134.45	4.93	Grammatical	1	1.06	general	had	tripped	n/a
139.38	4.93	Ungrammatical	1	0.148	directors	is	watched	n/a
144.31	4.93	Grammatical	1	0.802	runner	could	jog	n/a
149.24	4.93	Grammatical	1	1.348	librarian	is	accused	n/a
154.17	4.93	Ungrammatical	1	1.746	painters	could	phoning	n/a
163.1	4.85	control	1	1.248	700	500	500	2.0
167.95	4.85	control	1	0.823	300	700	300	1.0
172.8	4.85	control	1	1.052	300	500	500	2.0
177.65	4.85	control	1	0.948	700	500	300	n/a
182.5	4.85	control	1	0.793	500	700	500	1.0
187.35	4.85	control	1	0.929	700	300	300	2.0
192.2	4.85	control	1	0.9	700	300	500	n/a
197.05	4.85	control	1	0.86	500	300	500	1.0
201.9	4.85	control	1	0.866	300	700	500	n/a
206.75	4.85	control	1	0.8	500	300	700	n/a
215.6	4.93	Grammatical	1	0.843	partners	were	afraid	n/a
220.53	4.93	Grammatical	1	1.123	hero	was	struggling	n/a
225.46	4.93	Ungrammatical	1	1.099	musicians	have	tuning	n/a
230.39	4.93	Ungrammatical	1	0.361	toads	was	jumping	n/a
235.32	4.93	Grammatical	1	1.224	mother	was	answering	n/a
240.25	4.93	Ungrammatical	1	1.164	lions	can	chaining	n/a
245.18	4.93	Grammatical	1	1.388	bullies	had	argued	n/a
250.11	4.93	Grammatical	1	0.835	ranger	can	wrestle	n/a
255.04	4.93	Grammatical	1	0.952	people	are	grouped	n/a
259.97	4.93	Ungrammatical	1	0.964	lady	have	help	n/a
268.9	4.85	control	1	0.959	300	700	700	2.0
273.75	4.85	control	1	0.79	700	300	500	n/a
278.6	4.85	control	1	0.982	300	500	700	n/a
283.45	4.85	control	1	0.892	700	500	700	1.0
288.3	4.85	control	1	0.792	700	300	700	1.0
293.15	4.85	control	1	1.103	500	700	700	2.0
298.0	4.85	control	1	1.281	500	300	300	2.0
302.85	4.85	control	0	1.123	500	700	300	n/a
307.7	4.85	control	1	0.96	300	500	300	1.0
312.55	4.85	control	1	0.842	500	300	700	n/a
321.4	4.93	Ungrammatical	1	1.124	janitors	can	sweeping	n/a
326.33	4.93	Grammatical	1	1.138	champions	can	stay	n/a
331.26	4.93	Grammatical	1	1.087	wives	were	creative	n/a
336.19	4.93	Ungrammatical	1	1.067	banker	can	laughing	n/a
341.12	4.93	Ungrammatical	1	0.846	senators	has	stood	n/a
346.05	4.93	Grammatical	1	0.921	queens	are	beautiful	n/a
350.98	4.93	Ungrammatical	1	1.105	frogs	were	tease	n/a
355.91	4.93	Grammatical	1	0.873	students	could	study	n/a
360.84	4.93	Grammatical	1	1.129	bears	could	remain	n/a
365.77	4.93	Grammatical	1	0.88	mayor	could	move	n/a
374.7	4.85	control	1	0.767	500	300	700	n/a
379.55	4.85	control	1	0.818	500	700	500	1.0
384.4	4.85	control	1	1.193	300	500	500	2.0
389.25	4.85	control	1	0.783	300	700	300	1.0
394.1	4.85	control	1	1.391	700	300	300	2.0
398.95	4.85	control	1	0.767	300	700	500	n/a
403.8	4.85	control	1	0.919	700	500	300	n/a
408.65	4.85	control	1	0.963	700	500	500	2.0
413.5	4.85	control	1	1.241	500	300	500	1.0
418.35	4.85	control	1	0.908	700	300	500	n/a
427.2	4.93	Ungrammatical	1	1.41	cowboys	had	walk	n/a
432.13	4.93	Ungrammatical	0	1.634	weaver	were	knitting	n/a
437.06	4.93	Grammatical	1	1.228	prince	had	forgotten	n/a
441.99	4.93	Grammatical	1	1.003	pigeons	are	noisy	n/a
446.92	4.93	Grammatical	1	0.959	thief	was	shaking	n/a
451.85	4.93	Ungrammatical	1	1.408	nurse	had	encouraging	n/a
456.78	4.93	Grammatical	1	1.184	groom	was	nervous	n/a
461.71	4.93	Grammatical	1	0.912	ducks	are	quacking	n/a
466.64	4.93	Ungrammatical	1	1.071	goats	could	petting	n/a
471.57	4.93	Grammatical	1	0.889	uncles	can	learn	n/a
480.5	4.85	control	1	0.785	700	500	700	1.0
485.35	4.85	control	1	0.891	700	300	500	n/a
490.2	4.85	control	1	0.79	300	500	300	1.0
495.05	4.85	control	1	1.337	500	300	300	2.0
499.9	4.85	control	1	0.833	700	300	700	1.0
504.75	4.85	control	1	1.156	500	700	700	2.0
509.6	4.85	control	1	0.868	300	500	700	n/a
514.45	4.85	control	1	1.383	500	300	700	n/a
519.3	4.85	control	1	1.039	300	700	700	2.0
524.15	4.85	control	1	1.07	500	700	300	n/a
