onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	Unrelated	1	2.529	gravel	pants	turkey	n/a
8.91	4.91	Related	1	1.673	driver	silent	quiet	2.0
13.82	4.91	Related	1	1.548	tag	sock	shoe	2.0
18.73	4.91	Unrelated	0	2.237	able	mother	party	n/a
23.64	4.91	Related	1	2.008	throw	weapon	catch	1.0
28.55	4.91	Related	1	1.506	tablet	seafood	shrimp	2.0
33.46	4.91	Related	1	1.737	question	behind	answer	1.0
38.37	4.91	Unrelated	1	2.098	club	paid	thinking	n/a
43.28	4.91	Related	1	1.075	syrup	flown	pancakes	1.0
48.19	4.91	Unrelated	1	1.621	nursery	curtain	roar	n/a
57.1	4.91	control	1	1.146	\ /	/ \	\ /	1.0
62.01	4.91	control	1	1.117	\ /	/ \	/ \	2.0
66.92	4.91	control	1	1.884	\ \	\ /	/ \	n/a
71.83	4.91	control	1	0.986	/ /	/ \	/ /	1.0
76.74	4.91	control	0	2.318	\ /	/ \	/ /	n/a
81.65	4.91	control	0	1.536	/ \	/ /	\ /	n/a
86.56	4.91	control	1	1.082	\ \	\ /	\ \	1.0
91.47	4.91	control	1	2.024	/ /	/ \	\ \	n/a
96.38	4.91	control	1	1.226	/ /	/ \	/ \	2.0
101.29	4.91	control	1	0.991	\ \	\ /	\ /	2.0
110.2	4.91	Related	1	0.759	dog	vote	cat	1.0
115.11	4.91	Related	1	1.624	razor	drag	blade	1.0
120.02	4.91	Unrelated	1	1.462	choppy	bandit	thorn	n/a
124.93	4.91	Related	1	2.705	finish	recall	end	1.0
129.84	4.91	Unrelated	1	1.635	chunk	hoof	stitch	n/a
134.75	4.91	Unrelated	0	2.194	roller	kettle	chalk	n/a
139.66	4.91	Related	1	1.233	peanut	oyster	clam	2.0
144.57	4.91	Unrelated	1	1.607	stream	guy	rear	n/a
149.48	4.91	Related	1	2.552	priest	sketch	draw	2.0
154.39	4.91	Related	1	1.123	stinging	washer	dryer	2.0
163.3	4.91	control	1	1.376	\ \	/ /	/ \	n/a
168.21	4.91	control	1	1.037	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.987	\ /	\ \	\ /	1.0
178.03	4.91	control	1	0.788	/ /	\ \	\ /	n/a
182.94	4.91	control	1	0.918	/ /	\ \	\ \	2.0
187.85	4.91	control	1	1.225	/ \	/ /	/ /	2.0
192.76	4.91	control	1	0.867	/ /	\ \	/ /	1.0
197.67	4.91	control	1	1.082	/ \	/ /	/ \	1.0
202.58	4.91	control	1	1.507	/ \	\ \	/ /	n/a
207.49	4.91	control	1	1.105	\ /	/ /	/ \	n/a
216.4	4.91	Related	1	1.339	tenth	circus	clown	2.0
221.31	4.91	Unrelated	1	2.149	blanket	cried	split	n/a
226.22	4.91	Related	1	0.888	dipping	smudge	smear	2.0
231.13	4.91	Unrelated	1	1.554	wing	hunter	lemon	n/a
236.04	4.91	Related	1	0.991	rib	jello	pudding	2.0
240.95	4.91	Related	1	1.511	server	flashy	waiter	1.0
245.86	4.91	Related	1	0.847	dime	fuss	nickel	1.0
