onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P+	1	1.982	stressed	spittle	jest	1.0
8.91	4.91	O-P-	1	1.621	shows	seep	pledge	n/a
13.82	4.91	O+P+	1	1.426	huddle	stung	rung	2.0
18.73	4.91	O-P-	1	1.563	bath	cope	leads	n/a
23.64	4.91	O-P+	1	1.49	quote	shut	throat	1.0
28.55	4.91	O-P+	1	1.373	dance	curve	serve	2.0
33.46	4.91	O-P-	1	1.659	ought	pace	king	n/a
38.37	4.91	O+P+	1	1.93	free	took	three	1.0
43.28	4.91	O+P+	1	1.607	hoop	weave	heave	2.0
48.19	4.91	O-P-	1	1.51	debt	gaze	grill	n/a
57.1	4.91	control	1	1.266	/ /	/ \	\ \	n/a
62.01	4.91	control	1	1.453	\ \	\ /	/ \	n/a
66.92	4.91	control	1	1.224	/ /	/ \	/ /	1.0
71.83	4.91	control	1	1.81	\ /	/ \	/ /	n/a
76.74	4.91	control	1	1.608	\ \	\ /	\ /	2.0
81.65	4.91	control	1	1.834	\ /	/ \	\ /	1.0
86.56	4.91	control	1	1.376	\ \	\ /	\ \	1.0
91.47	4.91	control	1	1.197	/ /	/ \	/ \	2.0
96.38	4.91	control	1	1.534	\ /	/ \	/ \	2.0
101.29	4.91	control	1	1.144	/ \	/ /	\ /	n/a
110.2	4.91	O+P+	1	1.336	blooms	prank	grooms	1.0
115.11	4.91	O-P-	1	1.117	mild	weep	drag	n/a
120.02	4.91	O-P-	1	1.445	people	girl	what	n/a
124.93	4.91	O+P+	1	1.952	wrong	round	ground	2.0
129.84	4.91	O-P+	1	1.264	clip	weed	plead	2.0
134.75	4.91	O-P-	1	1.022	shine	skip	cute	n/a
139.66	4.91	O-P-	1	1.642	town	gain	five	n/a
144.57	4.91	O-P+	1	1.365	throats	startle	quotes	1.0
149.48	4.91	O+P+	1	0.77	malt	coin	halt	1.0
154.39	4.91	O-P+	1	1.575	broth	sneer	smear	2.0
163.3	4.91	control	1	1.586	/ \	/ /	/ \	1.0
168.21	4.91	control	1	1.256	\ /	\ \	\ \	2.0
173.12	4.91	control	1	2.202	\ /	\ \	\ /	1.0
178.03	4.91	control	1	1.355	/ \	\ \	/ /	n/a
182.94	4.91	control	1	1.33	/ /	\ \	/ /	1.0
187.85	4.91	control	1	2.079	/ /	\ \	\ /	n/a
192.76	4.91	control	1	1.256	/ /	\ \	\ \	2.0
197.67	4.91	control	1	2.568	\ /	/ /	/ \	n/a
202.58	4.91	control	1	2.611	\ \	/ /	/ \	n/a
207.49	4.91	control	1	1.199	/ \	/ /	/ /	2.0
216.4	4.91	O+P+	1	1.682	squash	stacked	hacked	2.0
221.31	4.91	O-P-	1	1.64	wharf	gleam	dell	n/a
226.22	4.91	O+P+	1	1.86	black	fish	track	1.0
231.13	4.91	O+P+	1	1.466	book	floor	door	2.0
236.04	4.91	O-P+	1	1.352	clause	geese	niece	2.0
240.95	4.91	O-P-	1	1.464	blitz	vault	dump	n/a
245.86	4.91	O-P-	1	2.015	trait	vine	trance	n/a
250.77	4.91	O-P+	1	1.757	swirl	knit	pearl	1.0
255.68	4.91	O-P+	1	2.051	touch	than	such	1.0
260.59	4.91	O-P-	1	2.072	glade	clips	scrape	n/a
269.5	4.91	control	1	2.674	/ /	\ /	/ /	1.0
274.41	4.91	control	1	1.492	/ /	/ \	\ \	n/a
279.32	4.91	control	1	1.357	\ \	/ \	/ /	n/a
284.23	4.91	control	1	1.412	/ \	\ \	\ \	2.0
289.14	4.91	control	1	1.282	/ /	\ /	\ /	2.0
294.05	4.91	control	0	2.889	/ /	\ /	/ \	n/a
298.96	4.91	control	1	1.323	\ \	/ /	\ \	1.0
303.87	4.91	control	1	1.313	\ /	/ \	/ /	n/a
