onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P-	1	0.699	spies	rasp	drown	n/a
8.91	4.91	O-P-	1	0.875	harp	cruised	runt	n/a
13.82	4.91	O+P+	1	0.783	slave	hard	yard	2.0
18.73	4.91	O-P+	1	0.719	click	psalm	prom	n/a
23.64	4.91	O-P+	1	1.05	white	guilt	height	n/a
28.55	4.91	O+P+	1	0.558	temple	spend	tend	2.0
33.46	4.91	O-P-	1	0.711	lust	junk	bats	n/a
38.37	4.91	O+P+	1	0.937	team	pure	dream	1.0
43.28	4.91	O-P-	1	0.65	stack	castle	mint	n/a
48.19	4.91	O-P+	1	1.32	half	flag	graph	n/a
57.1	4.91	control	1	0.477	\ \	\ /	\ /	2.0
62.01	4.91	control	1	0.439	\ /	/ \	/ \	2.0
66.92	4.91	control	1	1.026	/ /	/ \	\ \	n/a
71.83	4.91	control	1	1.004	/ /	/ \	/ /	1.0
76.74	4.91	control	1	1.033	\ \	\ /	/ \	n/a
81.65	4.91	control	1	0.644	\ /	/ \	\ /	1.0
86.56	4.91	control	1	0.591	\ /	/ \	/ /	n/a
91.47	4.91	control	1	0.633	/ /	/ \	/ \	2.0
96.38	4.91	control	1	0.774	/ \	/ /	\ /	n/a
101.29	4.91	control	0	0.757	\ \	\ /	\ \	1.0
110.2	4.91	O-P-	1	0.653	dung	squirm	cramp	n/a
115.11	4.91	O+P+	1	0.437	fool	cash	tool	1.0
120.02	4.91	O-P+	1	0.88	dense	crowned	hound	n/a
124.93	4.91	O-P+	1	0.61	mime	smash	rhyme	n/a
129.84	4.91	O+P+	1	0.657	ample	purse	nurse	2.0
134.75	4.91	O-P-	1	0.647	smooth	beard	uncle	n/a
139.66	4.91	O-P-	1	0.635	mold	twice	jack	n/a
144.57	4.91	O+P+	1	0.605	start	mind	part	1.0
149.48	4.91	O-P-	1	0.614	cracked	bunch	boots	n/a
154.39	4.91	O-P+	1	1.019	check	prize	rise	n/a
163.3	4.91	control	1	0.486	\ \	/ /	/ \	n/a
168.21	4.91	control	1	0.421	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.483	/ /	\ \	\ /	n/a
178.03	4.91	control	1	0.743	\ /	/ /	/ \	n/a
182.94	4.91	control	1	0.546	/ /	\ \	\ \	2.0
187.85	4.91	control	1	1.018	\ /	\ \	\ /	1.0
192.76	4.91	control	1	0.61	/ \	\ \	/ /	n/a
197.67	4.91	control	1	0.652	/ /	\ \	/ /	1.0
202.58	4.91	control	1	0.617	/ \	/ /	/ /	2.0
207.49	4.91	control	1	0.639	/ \	/ /	/ \	1.0
216.4	4.91	O-P+	1	0.83	duct	fused	bruised	n/a
221.31	4.91	O-P+	1	0.767	skim	blur	gym	n/a
226.22	4.91	O+P+	1	0.866	sawed	puke	flawed	1.0
231.13	4.91	O-P-	1	0.722	slash	zoos	snag	n/a
236.04	4.91	O-P-	1	0.544	groove	dwarf	lint	n/a
240.95	4.91	O+P+	1	0.51	stamp	glaze	blaze	2.0
245.86	4.91	O-P-	1	0.611	trust	blame	wind	n/a
250.77	4.91	O+P+	0	1.301	harm	lift	swift	2.0
