onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	O-P+	1	2.727	youth	bridge	truth	n/a
8.93	4.93	O-P+	0	n/a	june	term	firm	n/a
13.86	4.93	O+P+	1	1.267	hold	plant	cold	1.0
18.79	4.93	O-P-	0	2.279	client	flung	trick	n/a
23.72	4.93	O+P+	1	2.391	slept	cone	bone	2.0
28.65	4.93	O-P-	1	1.345	fight	look	show	n/a
33.58	4.93	O-P-	0	2.391	yelp	stirred	hilt	n/a
38.51	4.93	O+P+	1	1.071	wife	west	best	2.0
43.44	4.93	O-P-	1	1.591	flown	weave	latch	n/a
48.37	4.93	O-P+	1	2.303	beak	lance	sleek	n/a
57.3	4.85	control	1	1.287	500	700	700	2.0
62.15	4.85	control	1	1.1	300	700	700	2.0
67.0	4.85	control	1	1.207	300	500	700	n/a
71.85	4.85	control	1	1.887	300	500	300	1.0
76.7	4.85	control	1	1.253	500	300	700	n/a
81.55	4.85	control	1	1.203	700	300	700	1.0
86.4	4.85	control	0	2.16	500	700	300	n/a
91.25	4.85	control	1	0.934	500	300	300	2.0
96.1	4.85	control	1	1.37	700	300	500	n/a
100.95	4.85	control	1	1.059	700	500	700	1.0
109.8	4.93	O-P+	0	1.187	toys	lore	poise	n/a
114.73	4.93	O-P-	1	2.43	layer	scream	snap	n/a
119.66	4.93	O+P+	1	1.298	park	corn	born	2.0
124.59	4.93	O-P+	1	1.37	snug	froze	blows	n/a
129.52	4.93	O-P-	1	1.433	healed	reek	fling	n/a
134.45	4.93	O+P+	1	1.196	scanned	brisk	tanned	1.0
139.38	4.93	O-P+	0	1.02	slab	stew	glue	n/a
144.31	4.93	O+P+	1	1.177	hurled	slouch	curled	1.0
149.24	4.93	O-P-	1	1.085	strayed	pawn	carve	n/a
154.17	4.93	O-P-	1	1.941	toil	shrunk	hoist	n/a
163.1	4.85	control	1	1.669	700	500	300	n/a
167.95	4.85	control	1	2.186	700	300	300	2.0
172.8	4.85	control	0	2.856	500	300	700	n/a
177.65	4.85	control	1	1.176	700	300	500	n/a
182.5	4.85	control	1	1.429	300	500	500	2.0
187.35	4.85	control	1	1.529	300	700	300	1.0
192.2	4.85	control	1	1.319	300	700	500	n/a
197.05	4.85	control	1	1.175	500	300	500	1.0
201.9	4.85	control	0	1.873	700	500	500	2.0
206.75	4.85	control	0	1.552	500	700	500	1.0
215.6	4.93	O-P-	0	n/a	plum	wince	hick	n/a
220.53	4.93	O-P+	0	1.097	left	style	while	n/a
225.46	4.93	O+P+	1	1.521	thud	boom	stud	1.0
230.39	4.93	O-P+	0	0.954	lord	rush	ward	n/a
235.32	4.93	O-P+	0	1.317	line	fast	sign	n/a
240.25	4.93	O+P+	0	0.628	built	vote	note	2.0
245.18	4.93	O-P-	1	1.329	whim	skies	plush	n/a
250.11	4.93	O-P-	1	1.807	vents	swum	grail	n/a
255.04	4.93	O+P+	1	1.661	thank	gift	shift	2.0
259.97	4.93	O-P-	1	1.546	mine	stop	single	n/a
268.9	4.85	control	1	1.592	500	700	700	2.0
273.75	4.85	control	0	1.958	300	500	700	n/a
278.6	4.85	control	1	1.027	700	300	500	n/a
283.45	4.85	control	1	1.178	700	300	700	1.0
288.3	4.85	control	1	1.393	500	300	300	2.0
293.15	4.85	control	1	1.894	500	300	700	n/a
298.0	4.85	control	0	1.172	300	500	300	1.0
302.85	4.85	control	1	1.378	500	700	300	n/a
307.7	4.85	control	1	1.716	300	700	700	2.0
312.55	4.85	control	1	0.99	700	500	700	1.0
321.4	4.93	O-P-	1	1.209	lunge	tack	twelfth	n/a
326.33	4.93	O+P+	1	1.435	twin	moat	goat	2.0
331.26	4.93	O-P+	0	1.179	stub	coughed	loft	n/a
336.19	4.93	O-P+	0	n/a	clerk	house	work	n/a
341.12	4.93	O+P+	1	1.803	jeep	crown	sheep	1.0
346.05	4.93	O-P-	1	1.7	idle	dumb	grey	n/a
350.98	4.93	O-P-	1	1.333	scoff	bribe	splice	n/a
355.91	4.93	O+P+	1	1.151	squeeze	lump	freeze	1.0
360.84	4.93	O-P+	0	1.401	join	school	rule	n/a
365.77	4.93	O-P-	1	1.332	shrine	sting	probe	n/a
374.7	4.85	control	1	2.709	700	500	300	n/a
379.55	4.85	control	0	1.43	700	300	500	n/a
384.4	4.85	control	1	0.974	300	500	500	2.0
389.25	4.85	control	1	1.138	700	500	500	2.0
394.1	4.85	control	0	1.115	500	300	700	n/a
398.95	4.85	control	1	1.165	500	300	500	1.0
403.8	4.85	control	0	1.153	500	700	500	1.0
408.65	4.85	control	1	1.305	700	300	300	2.0
413.5	4.85	control	0	1.451	300	700	500	n/a
418.35	4.85	control	1	2.044	300	700	300	1.0
427.2	4.93	O-P-	1	1.207	baffle	whacked	grit	n/a
432.13	4.93	O-P+	0	1.17	strung	snort	quart	n/a
437.06	4.93	O-P-	0	1.034	storm	wire	guess	n/a
441.99	4.93	O+P+	1	1.058	loud	eighth	cloud	1.0
446.92	4.93	O-P-	1	1.27	lend	pill	quart	n/a
451.85	4.93	O+P+	1	0.964	glum	licked	kicked	2.0
456.78	4.93	O-P+	0	1.45	rough	vague	stuff	n/a
461.71	4.93	O-P-	1	1.445	foot	snake	thin	n/a
466.64	4.93	O+P+	1	1.864	soil	slow	grow	2.0
471.57	4.93	O-P+	0	1.18	hope	colt	soap	n/a
480.5	4.85	control	1	0.934	700	300	500	n/a
485.35	4.85	control	1	1.073	300	700	700	2.0
490.2	4.85	control	1	1.244	300	500	700	n/a
495.05	4.85	control	1	0.962	700	300	700	1.0
499.9	4.85	control	0	1.415	500	300	300	2.0
504.75	4.85	control	1	1.688	500	300	700	n/a
509.6	4.85	control	1	0.947	300	500	300	1.0
514.45	4.85	control	1	1.178	500	700	300	n/a
519.3	4.85	control	1	1.601	500	700	700	2.0
524.15	4.85	control	1	1.373	700	500	700	1.0
