onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	O-P+	1	1.6	youth	bridge	truth	n/a
8.93	4.93	O-P+	1	1.891	june	term	firm	n/a
13.86	4.93	O+P+	1	1.2	hold	plant	cold	1.0
18.79	4.93	O-P-	1	0.984	client	flung	trick	n/a
23.72	4.93	O+P+	1	1.177	slept	cone	bone	2.0
28.65	4.93	O-P-	1	1.403	fight	look	show	n/a
33.58	4.93	O-P-	1	1.42	yelp	stirred	hilt	n/a
38.51	4.93	O+P+	1	1.295	wife	west	best	2.0
43.44	4.93	O-P-	1	1.201	flown	weave	latch	n/a
48.37	4.93	O-P+	0	1.474	beak	lance	sleek	n/a
57.3	4.85	control	1	1.213	500	700	700	2.0
62.15	4.85	control	1	1.097	300	700	700	2.0
67.0	4.85	control	1	0.962	300	500	700	n/a
71.85	4.85	control	1	1.101	300	500	300	1.0
76.7	4.85	control	1	0.784	500	300	700	n/a
81.55	4.85	control	1	1.181	700	300	700	1.0
86.4	4.85	control	1	0.76	500	700	300	n/a
91.25	4.85	control	1	1.13	500	300	300	2.0
96.1	4.85	control	1	0.906	700	300	500	n/a
100.95	4.85	control	1	1.33	700	500	700	1.0
109.8	4.93	O-P+	0	1.449	toys	lore	poise	n/a
114.73	4.93	O-P-	1	0.956	layer	scream	snap	n/a
119.66	4.93	O+P+	1	0.942	park	corn	born	2.0
124.59	4.93	O-P+	0	1.926	snug	froze	blows	n/a
129.52	4.93	O-P-	1	1.034	healed	reek	fling	n/a
134.45	4.93	O+P+	1	1.868	scanned	brisk	tanned	1.0
139.38	4.93	O-P+	1	1.781	slab	stew	glue	n/a
144.31	4.93	O+P+	1	1.592	hurled	slouch	curled	1.0
149.24	4.93	O-P-	1	1.278	strayed	pawn	carve	n/a
154.17	4.93	O-P-	1	1.378	toil	shrunk	hoist	n/a
163.1	4.85	control	1	1.145	700	500	300	n/a
167.95	4.85	control	0	1.394	700	300	300	2.0
172.8	4.85	control	1	0.942	500	300	700	n/a
177.65	4.85	control	1	1.316	700	300	500	n/a
182.5	4.85	control	1	1.069	300	500	500	2.0
187.35	4.85	control	1	0.849	300	700	300	1.0
192.2	4.85	control	1	0.87	300	700	500	n/a
197.05	4.85	control	1	1.56	500	300	500	1.0
201.9	4.85	control	1	0.768	700	500	500	2.0
206.75	4.85	control	1	0.757	500	700	500	1.0
215.6	4.93	O-P-	1	0.806	plum	wince	hick	n/a
220.53	4.93	O-P+	0	1.651	left	style	while	n/a
225.46	4.93	O+P+	1	1.553	thud	boom	stud	1.0
230.39	4.93	O-P+	1	2.103	lord	rush	ward	n/a
235.32	4.93	O-P+	0	2.655	line	fast	sign	n/a
240.25	4.93	O+P+	1	1.281	built	vote	note	2.0
245.18	4.93	O-P-	1	0.972	whim	skies	plush	n/a
250.11	4.93	O-P-	1	1.078	vents	swum	grail	n/a
255.04	4.93	O+P+	1	0.941	thank	gift	shift	2.0
259.97	4.93	O-P-	1	1.228	mine	stop	single	n/a
268.9	4.85	control	1	1.376	500	700	700	2.0
273.75	4.85	control	1	0.884	300	500	700	n/a
278.6	4.85	control	1	0.977	700	300	500	n/a
283.45	4.85	control	1	1.335	700	300	700	1.0
288.3	4.85	control	1	1.188	500	300	300	2.0
293.15	4.85	control	1	1.334	500	300	700	n/a
298.0	4.85	control	1	2.231	300	500	300	1.0
302.85	4.85	control	1	0.875	500	700	300	n/a
307.7	4.85	control	1	1.297	300	700	700	2.0
312.55	4.85	control	1	1.246	700	500	700	1.0
321.4	4.93	O-P-	1	0.747	lunge	tack	twelfth	n/a
326.33	4.93	O+P+	0	1.556	twin	moat	goat	2.0
331.26	4.93	O-P+	1	1.99	stub	coughed	loft	n/a
336.19	4.93	O-P+	1	1.76	clerk	house	work	n/a
341.12	4.93	O+P+	1	1.41	jeep	crown	sheep	1.0
346.05	4.93	O-P-	1	0.948	idle	dumb	grey	n/a
350.98	4.93	O-P-	1	1.279	scoff	bribe	splice	n/a
355.91	4.93	O+P+	1	2.024	squeeze	lump	freeze	1.0
360.84	4.93	O-P+	1	1.118	join	school	rule	n/a
365.77	4.93	O-P-	1	0.834	shrine	sting	probe	n/a
374.7	4.85	control	1	0.791	700	500	300	n/a
379.55	4.85	control	1	1.489	700	300	500	n/a
384.4	4.85	control	1	1.94	300	500	500	2.0
389.25	4.85	control	1	1.244	700	500	500	2.0
394.1	4.85	control	1	1.158	500	300	700	n/a
398.95	4.85	control	1	1.118	500	300	500	1.0
403.8	4.85	control	1	1.389	500	700	500	1.0
408.65	4.85	control	1	1.07	700	300	300	2.0
413.5	4.85	control	1	0.982	300	700	500	n/a
418.35	4.85	control	1	0.893	300	700	300	1.0
427.2	4.93	O-P-	1	0.659	baffle	whacked	grit	n/a
