onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	Related	1	1.547	unfit	checkers	chess	2.0
8.93	4.93	Unrelated	1	1.465	ready	trade	square	n/a
13.86	4.93	Related	1	1.04	mom	saturn	dad	1.0
18.79	4.93	Related	1	1.039	thankful	algae	fungus	2.0
23.72	4.93	Unrelated	1	1.113	forgave	glide	maiden	n/a
28.65	4.93	Related	1	1.142	quack	ivy	duck	1.0
33.58	4.93	Related	1	1.068	skunk	cuff	stink	1.0
38.51	4.93	Unrelated	1	1.765	gently	tube	ceiling	n/a
43.44	4.93	Unrelated	1	1.188	weep	charcoal	dice	n/a
48.37	4.93	Related	1	0.551	fit	murder	kill	2.0
57.3	4.85	control	1	0.787	700	500	700	1.0
62.15	4.85	control	1	1.472	500	700	700	2.0
67.0	4.85	control	1	1.119	500	700	300	n/a
71.85	4.85	control	1	0.962	300	500	300	1.0
76.7	4.85	control	1	0.865	700	300	500	n/a
81.55	4.85	control	1	1.189	500	300	700	n/a
86.4	4.85	control	1	1.372	700	300	700	1.0
91.25	4.85	control	1	0.924	300	500	700	n/a
96.1	4.85	control	1	1.338	300	700	700	2.0
100.95	4.85	control	1	1.279	500	300	300	2.0
109.8	4.93	Unrelated	1	0.884	dessert	stir	bony	n/a
114.73	4.93	Related	1	1.383	ape	beaver	monkey	1.0
119.66	4.93	Related	1	0.865	rack	cologne	perfume	2.0
124.59	4.93	Unrelated	1	1.226	lion	steam	gap	n/a
129.52	4.93	Related	1	1.645	turn	love	hate	2.0
134.45	4.93	Unrelated	1	0.914	plug	select	belly	n/a
139.38	4.93	Related	1	0.609	dish	fancy	plate	1.0
144.31	4.93	Unrelated	1	0.918	june	lord	oil	n/a
149.24	4.93	Related	1	1.145	sunny	pepper	cloudy	1.0
154.17	4.93	Related	1	1.161	cooling	teach	learn	2.0
163.1	4.85	control	1	1.57	500	300	700	n/a
167.95	4.85	control	1	0.803	300	500	500	2.0
172.8	4.85	control	1	0.835	500	300	500	1.0
177.65	4.85	control	1	1.078	700	500	300	n/a
182.5	4.85	control	1	1.428	700	500	500	2.0
187.35	4.85	control	1	1.34	700	300	300	2.0
192.2	4.85	control	1	0.978	500	700	500	1.0
197.05	4.85	control	1	1.167	300	700	300	1.0
201.9	4.85	control	1	0.679	700	300	500	n/a
206.75	4.85	control	1	1.405	300	700	500	n/a
215.6	4.93	Unrelated	1	1.414	flow	warm	teaching	n/a
220.53	4.93	Related	1	1.516	earth	sat	ground	1.0
225.46	4.93	Unrelated	1	1.194	drinking	suit	poem	n/a
230.39	4.93	Unrelated	1	1.151	flood	spell	dim	n/a
235.32	4.93	Related	1	0.812	awful	fuel	gas	2.0
240.25	4.93	Related	0	0.904	without	again	repeat	2.0
245.18	4.93	Unrelated	1	1.1	standard	heavy	wish	n/a
250.11	4.93	Related	1	1.433	web	explode	spider	1.0
255.04	4.93	Related	1	1.23	trash	hive	garbage	1.0
259.97	4.93	Related	1	0.926	law	human	person	2.0
268.9	4.85	control	1	1.187	500	300	300	2.0
273.75	4.85	control	1	0.905	300	500	700	n/a
278.6	4.85	control	1	0.819	700	300	500	n/a
283.45	4.85	control	1	0.621	300	500	300	1.0
288.3	4.85	control	1	0.798	300	700	700	2.0
293.15	4.85	control	1	0.777	500	700	700	2.0
298.0	4.85	control	1	0.883	500	700	300	n/a
302.85	4.85	control	1	0.828	700	300	700	1.0
307.7	4.85	control	1	1.461	500	300	700	n/a
312.55	4.85	control	1	1.788	700	500	700	1.0
321.4	4.93	Related	1	0.994	loud	awake	asleep	2.0
326.33	4.93	Unrelated	1	1.736	pirate	shorten	bandage	n/a
331.26	4.93	Related	1	1.447	gather	alike	collect	1.0
336.19	4.93	Related	1	1.146	spread	ship	boat	2.0
341.12	4.93	Unrelated	1	1.741	winking	soak	invent	n/a
346.05	4.93	Unrelated	0	1.351	mop	swan	tug	n/a
350.98	4.93	Related	1	0.699	gang	hide	seek	2.0
355.91	4.93	Related	1	1.892	backbone	loaf	spine	1.0
360.84	4.93	Unrelated	1	1.668	fur	youngest	compass	n/a
365.77	4.93	Related	1	1.378	film	giving	movie	1.0
374.7	4.85	control	1	0.788	500	300	700	n/a
379.55	4.85	control	1	1.051	300	500	500	2.0
384.4	4.85	control	1	1.226	300	700	500	n/a
389.25	4.85	control	1	0.801	300	700	300	1.0
394.1	4.85	control	1	0.819	700	500	500	2.0
398.95	4.85	control	1	0.669	700	500	300	n/a
403.8	4.85	control	1	0.956	500	700	500	1.0
408.65	4.85	control	1	1.218	500	300	500	1.0
413.5	4.85	control	1	1.009	700	300	300	2.0
418.35	4.85	control	1	0.753	700	300	500	n/a
427.2	4.93	Unrelated	1	0.894	sunset	creek	arrow	n/a
432.13	4.93	Related	1	1.034	cactus	veal	prickly	1.0
437.06	4.93	Related	0	1.157	spoon	canoe	fork	1.0
441.99	4.93	Unrelated	0	1.909	tackle	bacon	wipe	n/a
446.92	4.93	Related	1	1.501	founder	dig	shovel	2.0
451.85	4.93	Related	1	0.999	aim	supper	dinner	2.0
456.78	4.93	Related	1	1.137	gloom	purse	wallet	2.0
461.71	4.93	Unrelated	1	1.588	chest	handle	depth	n/a
466.64	4.93	Related	1	1.255	summer	trial	winter	1.0
471.57	4.93	Unrelated	1	0.948	joke	wealth	chart	n/a
480.5	4.85	control	1	1.501	500	700	700	2.0
485.35	4.85	control	1	1.92	700	300	500	n/a
490.2	4.85	control	1	1.257	300	700	700	2.0
495.05	4.85	control	1	1.363	700	500	700	1.0
499.9	4.85	control	1	0.907	500	300	300	2.0
504.75	4.85	control	1	1.841	500	300	700	n/a
509.6	4.85	control	1	1.141	500	700	300	n/a
514.45	4.85	control	1	1.101	700	300	700	1.0
519.3	4.85	control	1	0.735	300	500	300	1.0
524.15	4.85	control	1	0.979	300	500	700	n/a
