onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	O-P+	1	1.273	guide	folk	smoke	2.0
8.93	4.93	O-P-	1	1.229	belt	wave	struck	n/a
13.86	4.93	O-P+	1	0.821	clone	trash	moan	1.0
18.79	4.93	O+P+	1	1.09	bench	lean	dean	2.0
23.72	4.93	O-P+	1	0.91	type	globe	ripe	1.0
28.65	4.93	O-P-	1	0.935	shacks	hinge	tong	n/a
33.58	4.93	O+P+	1	0.888	bond	brass	pond	1.0
38.51	4.93	O+P+	1	1.017	flask	slime	dime	2.0
43.44	4.93	O-P-	1	0.819	hike	lurch	loaf	n/a
48.37	4.93	O-P-	1	1.103	crook	sneeze	stout	n/a
57.3	4.85	control	1	0.882	300	500	700	n/a
62.15	4.85	control	1	0.984	500	700	300	n/a
67.0	4.85	control	1	0.928	300	500	300	1.0
71.85	4.85	control	1	1.551	700	300	500	n/a
76.7	4.85	control	1	1.002	500	300	300	2.0
81.55	4.85	control	1	1.104	700	500	700	1.0
86.4	4.85	control	1	0.938	700	300	700	1.0
91.25	4.85	control	1	1.063	300	700	700	2.0
96.1	4.85	control	1	0.989	500	700	700	2.0
100.95	4.85	control	1	0.976	500	300	700	n/a
109.8	4.93	O-P+	1	0.907	tying	cursed	thirst	2.0
114.73	4.93	O-P+	1	0.948	coil	stomp	swamp	2.0
119.66	4.93	O-P-	1	0.995	crude	damp	cops	n/a
124.59	4.93	O-P-	1	0.858	bound	roof	mark	n/a
129.52	4.93	O+P+	1	0.991	mumble	dressed	messed	2.0
134.45	4.93	O-P-	1	0.93	yours	shame	tube	n/a
139.38	4.93	O-P-	1	0.915	blank	heap	odds	n/a
144.31	4.93	O-P+	1	0.887	force	judge	source	1.0
149.24	4.93	O+P+	1	1.126	stripe	spoil	swipe	1.0
154.17	4.93	O+P+	1	1.012	crutch	chuckle	clutch	1.0
163.1	4.85	control	1	0.957	300	700	300	1.0
167.95	4.85	control	1	1.06	300	500	500	2.0
172.8	4.85	control	1	1.179	300	700	500	n/a
177.65	4.85	control	1	1.013	500	300	500	1.0
182.5	4.85	control	1	1.097	500	700	500	1.0
187.35	4.85	control	1	0.858	700	500	300	n/a
192.2	4.85	control	1	0.921	700	500	500	2.0
197.05	4.85	control	1	1.16	700	300	500	n/a
201.9	4.85	control	0	1.254	500	300	700	n/a
206.75	4.85	control	1	0.941	700	300	300	2.0
215.6	4.93	O+P+	1	1.025	bees	clothe	fees	1.0
220.53	4.93	O-P+	1	1.223	spaced	dangle	chased	1.0
225.46	4.93	O-P-	1	0.879	bull	dice	chuck	n/a
230.39	4.93	O+P+	1	0.885	ring	move	prove	2.0
235.32	4.93	O+P+	1	0.837	scald	ceased	greased	2.0
240.25	4.93	O-P+	1	1.009	news	beyond	whose	1.0
245.18	4.93	O-P-	1	0.884	sand	catch	truck	n/a
250.11	4.93	O-P-	1	0.856	chick	peas	drier	n/a
255.04	4.93	O-P+	1	0.638	milk	proud	crowd	2.0
259.97	4.93	O-P-	1	1.102	just	front	then	n/a
268.9	4.85	control	1	1.09	700	500	700	1.0
273.75	4.85	control	1	1.059	700	300	500	n/a
278.6	4.85	control	0	0.9	500	300	700	n/a
283.45	4.85	control	1	1.014	500	300	300	2.0
288.3	4.85	control	1	1.01	500	700	700	2.0
293.15	4.85	control	0	1.192	300	500	700	n/a
298.0	4.85	control	1	0.971	300	500	300	1.0
302.85	4.85	control	0	1.727	500	700	300	n/a
307.7	4.85	control	1	0.93	300	700	700	2.0
312.55	4.85	control	1	0.988	700	300	700	1.0
321.4	4.93	O-P-	1	0.824	deed	thaw	lamb	n/a
326.33	4.93	O-P+	1	0.859	tense	drunk	monk	2.0
331.26	4.93	O+P+	1	0.941	haze	scold	fold	2.0
336.19	4.93	O+P+	1	1.328	bite	hump	kite	1.0
341.12	4.93	O-P-	1	0.956	thug	crossed	surf	n/a
346.05	4.93	O+P+	1	0.809	food	golf	mood	1.0
350.98	4.93	O-P+	1	0.921	lace	shrink	vase	1.0
355.91	4.93	O-P+	1	0.954	poodle	lame	maim	2.0
360.84	4.93	O-P-	1	0.809	goods	core	hill	n/a
365.77	4.93	O-P-	1	0.988	fleet	loyal	urge	n/a
374.7	4.85	control	1	0.977	300	500	500	2.0
379.55	4.85	control	1	0.929	500	300	700	n/a
384.4	4.85	control	1	1.033	700	300	300	2.0
389.25	4.85	control	0	1.533	700	500	300	n/a
394.1	4.85	control	1	1.128	500	300	500	1.0
398.95	4.85	control	1	1.065	700	500	500	2.0
403.8	4.85	control	1	1.255	300	700	300	1.0
408.65	4.85	control	1	1.666	500	700	500	1.0
413.5	4.85	control	1	1.513	300	700	500	n/a
418.35	4.85	control	0	1.19	700	300	500	n/a
427.2	4.93	O-P+	1	1.052	worn	state	freight	2.0
432.13	4.93	O+P+	1	1.127	slip	draft	craft	2.0
437.06	4.93	O-P-	1	1.031	jungle	drift	mess	n/a
441.99	4.93	O+P+	1	0.849	pulse	gloss	moss	2.0
446.92	4.93	O-P+	1	1.053	chart	farm	heart	1.0
451.85	4.93	O-P-	1	1.239	crib	spine	zest	n/a
456.78	4.93	O-P+	1	1.395	perch	wilt	birch	1.0
461.71	4.93	O-P-	1	1.278	stews	toot	hark	n/a
466.64	4.93	O+P+	1	1.072	test	choice	rest	1.0
471.57	4.93	O-P-	1	1.519	teach	fund	edge	n/a
480.5	4.85	control	1	0.943	700	500	700	1.0
485.35	4.85	control	1	1.117	300	500	300	1.0
490.2	4.85	control	1	1.165	300	700	700	2.0
495.05	4.85	control	1	1.491	300	500	700	n/a
499.9	4.85	control	1	1.179	500	700	700	2.0
504.75	4.85	control	1	1.954	700	300	500	n/a
509.6	4.85	control	1	1.267	500	300	700	n/a
514.45	4.85	control	1	0.901	700	300	700	1.0
519.3	4.85	control	1	1.147	500	300	300	2.0
524.15	4.85	control	1	0.953	500	700	300	n/a
