onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P-	1	1.262	spies	rasp	drown	n/a
8.91	4.91	O-P-	1	1.363	harp	cruised	runt	n/a
13.82	4.91	O+P+	1	1.341	slave	hard	yard	2.0
18.73	4.91	O-P+	1	1.223	click	psalm	prom	n/a
23.64	4.91	O-P+	1	1.393	white	guilt	height	n/a
28.55	4.91	O+P+	1	1.163	temple	spend	tend	2.0
33.46	4.91	O-P-	1	1.13	lust	junk	bats	n/a
38.37	4.91	O+P+	1	1.221	team	pure	dream	1.0
43.28	4.91	O-P-	1	1.251	stack	castle	mint	n/a
48.19	4.91	O-P+	1	1.433	half	flag	graph	n/a
57.1	4.91	control	1	1.155	\ \	\ /	\ /	2.0
62.01	4.91	control	1	1.198	\ /	/ \	/ \	2.0
66.92	4.91	control	1	1.278	/ /	/ \	\ \	n/a
71.83	4.91	control	1	1.168	/ /	/ \	/ /	1.0
76.74	4.91	control	1	1.166	\ \	\ /	/ \	n/a
81.65	4.91	control	1	1.114	\ /	/ \	\ /	1.0
86.56	4.91	control	1	1.15	\ /	/ \	/ /	n/a
91.47	4.91	control	1	1.106	/ /	/ \	/ \	2.0
96.38	4.91	control	1	1.181	/ \	/ /	\ /	n/a
101.29	4.91	control	1	1.231	\ \	\ /	\ \	1.0
110.2	4.91	O-P-	1	1.352	dung	squirm	cramp	n/a
115.11	4.91	O+P+	1	1.143	fool	cash	tool	1.0
120.02	4.91	O-P+	1	1.239	dense	crowned	hound	n/a
124.93	4.91	O-P+	1	1.181	mime	smash	rhyme	n/a
129.84	4.91	O+P+	1	1.141	ample	purse	nurse	2.0
134.75	4.91	O-P-	1	1.204	smooth	beard	uncle	n/a
139.66	4.91	O-P-	1	1.161	mold	twice	jack	n/a
144.57	4.91	O+P+	1	1.188	start	mind	part	1.0
149.48	4.91	O-P-	1	1.215	cracked	bunch	boots	n/a
154.39	4.91	O-P+	0	1.265	check	prize	rise	n/a
163.3	4.91	control	1	1.35	\ \	/ /	/ \	n/a
168.21	4.91	control	1	1.371	\ /	\ \	\ \	2.0
173.12	4.91	control	1	1.083	/ /	\ \	\ /	n/a
178.03	4.91	control	0	1.288	\ /	/ /	/ \	n/a
182.94	4.91	control	1	1.079	/ /	\ \	\ \	2.0
187.85	4.91	control	1	1.284	\ /	\ \	\ /	1.0
192.76	4.91	control	1	1.159	/ \	\ \	/ /	n/a
197.67	4.91	control	1	1.107	/ /	\ \	/ /	1.0
202.58	4.91	control	1	1.193	/ \	/ /	/ /	2.0
207.49	4.91	control	1	1.193	/ \	/ /	/ \	1.0
216.4	4.91	O-P+	1	1.254	duct	fused	bruised	n/a
221.31	4.91	O-P+	1	1.138	skim	blur	gym	n/a
226.22	4.91	O+P+	1	1.18	sawed	puke	flawed	1.0
231.13	4.91	O-P-	1	1.143	slash	zoos	snag	n/a
236.04	4.91	O-P-	1	1.205	groove	dwarf	lint	n/a
240.95	4.91	O+P+	1	1.118	stamp	glaze	blaze	2.0
245.86	4.91	O-P-	1	1.329	trust	blame	wind	n/a
250.77	4.91	O+P+	1	1.192	harm	lift	swift	2.0
255.68	4.91	O-P+	1	1.405	planned	sludge	bland	n/a
260.59	4.91	O-P-	1	1.292	racks	skit	tripe	n/a
269.5	4.91	control	1	1.116	/ \	\ \	\ \	2.0
274.41	4.91	control	1	1.166	/ /	\ /	/ \	n/a
279.32	4.91	control	1	1.696	/ /	/ \	\ \	n/a
284.23	4.91	control	1	1.218	\ \	/ /	\ \	1.0
289.14	4.91	control	1	1.456	\ /	/ \	/ /	n/a
294.05	4.91	control	1	1.146	/ /	\ /	\ /	2.0
298.96	4.91	control	1	1.291	/ /	\ /	/ /	1.0
303.87	4.91	control	1	1.286	\ \	/ \	/ /	n/a
308.78	4.91	control	1	1.303	\ \	/ /	/ /	2.0
313.69	4.91	control	1	1.198	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	1.201	climb	spit	scar	n/a
327.51	4.91	O-P-	1	1.472	boost	woke	dutch	n/a
332.42	4.91	O+P+	1	1.129	gland	price	stand	1.0
337.33	4.91	O-P-	1	1.317	burnt	quack	barge	n/a
342.24	4.91	O+P+	1	1.502	dunk	spoof	flunk	1.0
347.15	4.91	O-P+	1	1.406	your	they	more	n/a
352.06	4.91	O-P+	1	1.202	gulp	groom	womb	n/a
356.97	4.91	O+P+	1	1.529	shell	blade	shade	2.0
361.88	4.91	O-P+	1	1.825	flick	fraud	thawed	n/a
366.79	4.91	O-P-	1	1.288	lies	gable	mall	n/a
375.7	4.91	control	1	1.159	\ \	\ /	/ \	n/a
380.61	4.91	control	1	1.198	/ /	\ \	\ /	n/a
385.52	4.91	control	1	0.917	/ \	\ /	\ /	2.0
390.43	4.91	control	1	1.152	\ \	/ \	/ \	2.0
395.34	4.91	control	1	1.096	\ \	/ /	\ /	n/a
400.25	4.91	control	1	1.169	/ \	\ /	/ \	1.0
405.16	4.91	control	1	1.066	\ \	/ \	\ \	1.0
410.07	4.91	control	1	1.133	\ /	/ /	/ /	2.0
414.98	4.91	control	1	1.098	/ \	/ /	\ /	n/a
419.89	4.91	control	1	1.357	\ /	/ /	\ /	1.0
428.8	4.91	O-P+	1	1.17	strewn	deem	swoon	n/a
433.71	4.91	O-P-	1	1.111	shore	maybe	heart	n/a
438.62	4.91	O+P+	1	1.187	pray	bloom	gloom	2.0
443.53	4.91	O-P+	1	1.328	plea	hatch	spree	n/a
448.44	4.91	O+P+	1	1.234	plump	twitch	stitch	2.0
453.35	4.91	O-P-	1	1.278	snows	pouch	clam	n/a
458.26	4.91	O-P-	1	1.407	knock	burn	grab	n/a
463.17	4.91	O+P+	1	1.453	snail	mask	frail	1.0
468.08	4.91	O-P+	1	1.221	male	mean	queen	n/a
472.99	4.91	O-P-	1	1.239	coach	tooth	rank	n/a
481.9	4.91	control	1	1.581	/ /	\ /	\ \	n/a
486.81	4.91	control	1	1.206	\ /	\ \	\ \	2.0
491.72	4.91	control	1	1.084	/ \	\ \	/ /	n/a
496.63	4.91	control	1	1.359	\ \	\ /	\ \	1.0
501.54	4.91	control	1	1.386	/ \	/ /	/ /	2.0
506.45	4.91	control	1	1.246	\ \	/ \	\ /	n/a
511.36	4.91	control	1	1.215	/ /	/ \	/ /	1.0
516.27	4.91	control	1	1.434	\ /	/ /	\ \	n/a
521.18	4.91	control	1	1.164	\ \	/ \	/ \	2.0
526.09	4.91	control	0	1.193	/ \	\ \	/ \	1.0
