onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P-	1	0.998	spies	rasp	drown	n/a
8.91	4.91	O-P-	1	1.948	harp	cruised	runt	n/a
13.82	4.91	O+P+	1	1.078	slave	hard	yard	2.0
18.73	4.91	O-P+	1	1.493	click	psalm	prom	n/a
23.64	4.91	O-P+	1	2.307	white	guilt	height	n/a
28.55	4.91	O+P+	1	2.47	temple	spend	tend	2.0
33.46	4.91	O-P-	1	1.588	lust	junk	bats	n/a
38.37	4.91	O+P+	0	2.024	team	pure	dream	1.0
43.28	4.91	O-P-	0	2.21	stack	castle	mint	n/a
48.19	4.91	O-P+	1	1.575	half	flag	graph	n/a
57.1	4.91	control	1	0.652	\ \	\ /	\ /	2.0
62.01	4.91	control	1	0.628	\ /	/ \	/ \	2.0
66.92	4.91	control	1	0.77	/ /	/ \	\ \	n/a
71.83	4.91	control	1	0.608	/ /	/ \	/ /	1.0
76.74	4.91	control	1	0.901	\ \	\ /	/ \	n/a
81.65	4.91	control	1	0.675	\ /	/ \	\ /	1.0
86.56	4.91	control	1	1.157	\ /	/ \	/ /	n/a
91.47	4.91	control	1	0.751	/ /	/ \	/ \	2.0
96.38	4.91	control	1	0.865	/ \	/ /	\ /	n/a
101.29	4.91	control	1	0.654	\ \	\ /	\ \	1.0
110.2	4.91	O-P-	0	2.089	dung	squirm	cramp	n/a
115.11	4.91	O+P+	0	1.849	fool	cash	tool	1.0
120.02	4.91	O-P+	0	1.445	dense	crowned	hound	n/a
124.93	4.91	O-P+	0	1.941	mime	smash	rhyme	n/a
129.84	4.91	O+P+	1	1.203	ample	purse	nurse	2.0
134.75	4.91	O-P-	1	2.291	smooth	beard	uncle	n/a
139.66	4.91	O-P-	1	1.804	mold	twice	jack	n/a
144.57	4.91	O+P+	1	1.522	start	mind	part	1.0
149.48	4.91	O-P-	1	1.337	cracked	bunch	boots	n/a
154.39	4.91	O-P+	0	n/a	check	prize	rise	n/a
163.3	4.91	control	1	0.96	\ \	/ /	/ \	n/a
168.21	4.91	control	1	0.612	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.837	/ /	\ \	\ /	n/a
178.03	4.91	control	1	1.063	\ /	/ /	/ \	n/a
182.94	4.91	control	1	0.806	/ /	\ \	\ \	2.0
187.85	4.91	control	1	0.876	\ /	\ \	\ /	1.0
192.76	4.91	control	1	0.933	/ \	\ \	/ /	n/a
197.67	4.91	control	1	0.745	/ /	\ \	/ /	1.0
202.58	4.91	control	1	0.75	/ \	/ /	/ /	2.0
207.49	4.91	control	1	0.677	/ \	/ /	/ \	1.0
216.4	4.91	O-P+	0	1.066	duct	fused	bruised	n/a
221.31	4.91	O-P+	1	1.877	skim	blur	gym	n/a
226.22	4.91	O+P+	1	1.276	sawed	puke	flawed	1.0
231.13	4.91	O-P-	1	1.561	slash	zoos	snag	n/a
236.04	4.91	O-P-	1	1.192	groove	dwarf	lint	n/a
240.95	4.91	O+P+	1	1.905	stamp	glaze	blaze	2.0
245.86	4.91	O-P-	1	1.271	trust	blame	wind	n/a
250.77	4.91	O+P+	1	1.795	harm	lift	swift	2.0
255.68	4.91	O-P+	0	2.076	planned	sludge	bland	n/a
260.59	4.91	O-P-	1	1.288	racks	skit	tripe	n/a
269.5	4.91	control	1	0.907	/ \	\ \	\ \	2.0
274.41	4.91	control	1	0.883	/ /	\ /	/ \	n/a
279.32	4.91	control	1	0.816	/ /	/ \	\ \	n/a
284.23	4.91	control	1	0.866	\ \	/ /	\ \	1.0
289.14	4.91	control	1	0.942	\ /	/ \	/ /	n/a
294.05	4.91	control	1	0.818	/ /	\ /	\ /	2.0
298.96	4.91	control	1	0.659	/ /	\ /	/ /	1.0
303.87	4.91	control	1	0.883	\ \	/ \	/ /	n/a
308.78	4.91	control	1	0.782	\ \	/ /	/ /	2.0
313.69	4.91	control	1	0.668	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	1.332	climb	spit	scar	n/a
327.51	4.91	O-P-	1	1.076	boost	woke	dutch	n/a
332.42	4.91	O+P+	1	1.408	gland	price	stand	1.0
337.33	4.91	O-P-	1	0.978	burnt	quack	barge	n/a
342.24	4.91	O+P+	1	1.491	dunk	spoof	flunk	1.0
347.15	4.91	O-P+	1	1.419	your	they	more	n/a
352.06	4.91	O-P+	1	0.914	gulp	groom	womb	n/a
356.97	4.91	O+P+	1	1.41	shell	blade	shade	2.0
361.88	4.91	O-P+	0	1.766	flick	fraud	thawed	n/a
366.79	4.91	O-P-	1	2.526	lies	gable	mall	n/a
375.7	4.91	control	1	0.887	\ \	\ /	/ \	n/a
380.61	4.91	control	1	0.884	/ /	\ \	\ /	n/a
385.52	4.91	control	1	0.695	/ \	\ /	\ /	2.0
390.43	4.91	control	1	0.78	\ \	/ \	/ \	2.0
395.34	4.91	control	0	1.288	\ \	/ /	\ /	n/a
400.25	4.91	control	1	0.77	/ \	\ /	/ \	1.0
405.16	4.91	control	1	0.879	\ \	/ \	\ \	1.0
410.07	4.91	control	1	0.774	\ /	/ /	/ /	2.0
414.98	4.91	control	1	1.093	/ \	/ /	\ /	n/a
419.89	4.91	control	1	0.696	\ /	/ /	\ /	1.0
428.8	4.91	O-P+	1	1.821	strewn	deem	swoon	n/a
433.71	4.91	O-P-	1	1.784	shore	maybe	heart	n/a
438.62	4.91	O+P+	1	1.318	pray	bloom	gloom	2.0
443.53	4.91	O-P+	1	1.349	plea	hatch	spree	n/a
448.44	4.91	O+P+	1	1.902	plump	twitch	stitch	2.0
453.35	4.91	O-P-	1	1.886	snows	pouch	clam	n/a
458.26	4.91	O-P-	1	2.167	knock	burn	grab	n/a
463.17	4.91	O+P+	1	1.288	snail	mask	frail	1.0
468.08	4.91	O-P+	0	1.537	male	mean	queen	n/a
472.99	4.91	O-P-	1	1.089	coach	tooth	rank	n/a
481.9	4.91	control	1	0.841	/ /	\ /	\ \	n/a
486.81	4.91	control	1	0.803	\ /	\ \	\ \	2.0
491.72	4.91	control	1	0.725	/ \	\ \	/ /	n/a
496.63	4.91	control	1	0.582	\ \	\ /	\ \	1.0
501.54	4.91	control	1	0.774	/ \	/ /	/ /	2.0
506.45	4.91	control	1	0.967	\ \	/ \	\ /	n/a
511.36	4.91	control	1	0.739	/ /	/ \	/ /	1.0
516.27	4.91	control	1	0.929	\ /	/ /	\ \	n/a
521.18	4.91	control	1	0.719	\ \	/ \	/ \	2.0
526.09	4.91	control	1	0.715	/ \	\ \	/ \	1.0
