onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	O-P+	1	1.806	guide	folk	smoke	2.0
8.93	4.93	O-P-	1	1.024	belt	wave	struck	n/a
13.86	4.93	O-P+	1	1.139	clone	trash	moan	1.0
18.79	4.93	O+P+	1	1.003	bench	lean	dean	2.0
23.72	4.93	O-P+	0	1.314	type	globe	ripe	1.0
28.65	4.93	O-P-	0	2.245	shacks	hinge	tong	n/a
33.58	4.93	O+P+	1	1.321	bond	brass	pond	1.0
38.51	4.93	O+P+	1	1.141	flask	slime	dime	2.0
43.44	4.93	O-P-	0	2.606	hike	lurch	loaf	n/a
48.37	4.93	O-P-	1	1.238	crook	sneeze	stout	n/a
57.3	4.85	control	0	n/a	300	500	700	n/a
62.15	4.85	control	1	1.608	500	700	300	n/a
67.0	4.85	control	1	1.263	300	500	300	1.0
71.85	4.85	control	1	1.467	700	300	500	n/a
76.7	4.85	control	1	1.027	500	300	300	2.0
81.55	4.85	control	1	1.726	700	500	700	1.0
86.4	4.85	control	1	1.01	700	300	700	1.0
91.25	4.85	control	1	0.96	300	700	700	2.0
96.1	4.85	control	1	0.924	500	700	700	2.0
100.95	4.85	control	1	1.559	500	300	700	n/a
109.8	4.93	O-P+	1	1.006	tying	cursed	thirst	2.0
114.73	4.93	O-P+	1	1.709	coil	stomp	swamp	2.0
119.66	4.93	O-P-	1	1.612	crude	damp	cops	n/a
124.59	4.93	O-P-	1	0.986	bound	roof	mark	n/a
129.52	4.93	O+P+	1	1.658	mumble	dressed	messed	2.0
134.45	4.93	O-P-	1	1.315	yours	shame	tube	n/a
139.38	4.93	O-P-	1	1.013	blank	heap	odds	n/a
144.31	4.93	O-P+	1	1.049	force	judge	source	1.0
149.24	4.93	O+P+	1	1.12	stripe	spoil	swipe	1.0
154.17	4.93	O+P+	1	0.99	crutch	chuckle	clutch	1.0
163.1	4.85	control	1	1.398	300	700	300	1.0
167.95	4.85	control	1	1.047	300	500	500	2.0
172.8	4.85	control	1	1.281	300	700	500	n/a
177.65	4.85	control	1	0.987	500	300	500	1.0
182.5	4.85	control	1	0.996	500	700	500	1.0
187.35	4.85	control	0	1.601	700	500	300	n/a
192.2	4.85	control	1	0.857	700	500	500	2.0
197.05	4.85	control	1	2.181	700	300	500	n/a
201.9	4.85	control	1	1.713	500	300	700	n/a
206.75	4.85	control	1	0.997	700	300	300	2.0
215.6	4.93	O+P+	1	1.186	bees	clothe	fees	1.0
220.53	4.93	O-P+	1	1.467	spaced	dangle	chased	1.0
225.46	4.93	O-P-	0	1.368	bull	dice	chuck	n/a
230.39	4.93	O+P+	1	1.267	ring	move	prove	2.0
235.32	4.93	O+P+	1	1.288	scald	ceased	greased	2.0
240.25	4.93	O-P+	1	1.319	news	beyond	whose	1.0
245.18	4.93	O-P-	1	0.893	sand	catch	truck	n/a
250.11	4.93	O-P-	1	1.581	chick	peas	drier	n/a
255.04	4.93	O-P+	1	1.194	milk	proud	crowd	2.0
259.97	4.93	O-P-	1	1.227	just	front	then	n/a
268.9	4.85	control	1	0.917	700	500	700	1.0
273.75	4.85	control	1	1.726	700	300	500	n/a
278.6	4.85	control	0	2.043	500	300	700	n/a
283.45	4.85	control	1	0.979	500	300	300	2.0
288.3	4.85	control	1	1.013	500	700	700	2.0
293.15	4.85	control	1	1.103	300	500	700	n/a
298.0	4.85	control	0	1.656	300	500	300	1.0
302.85	4.85	control	0	1.446	500	700	300	n/a
307.7	4.85	control	1	1.405	300	700	700	2.0
312.55	4.85	control	1	1.141	700	300	700	1.0
321.4	4.93	O-P-	1	1.763	deed	thaw	lamb	n/a
326.33	4.93	O-P+	1	1.211	tense	drunk	monk	2.0
331.26	4.93	O+P+	1	1.037	haze	scold	fold	2.0
336.19	4.93	O+P+	1	1.008	bite	hump	kite	1.0
341.12	4.93	O-P-	1	1.958	thug	crossed	surf	n/a
346.05	4.93	O+P+	1	0.914	food	golf	mood	1.0
350.98	4.93	O-P+	1	1.26	lace	shrink	vase	1.0
355.91	4.93	O-P+	0	1.373	poodle	lame	maim	2.0
360.84	4.93	O-P-	1	1.502	goods	core	hill	n/a
365.77	4.93	O-P-	1	2.097	fleet	loyal	urge	n/a
374.7	4.85	control	1	1.056	300	500	500	2.0
379.55	4.85	control	1	1.501	500	300	700	n/a
384.4	4.85	control	1	1.023	700	300	300	2.0
389.25	4.85	control	1	1.678	700	500	300	n/a
394.1	4.85	control	1	0.983	500	300	500	1.0
398.95	4.85	control	1	1.622	700	500	500	2.0
403.8	4.85	control	1	1.606	300	700	300	1.0
408.65	4.85	control	1	1.392	500	700	500	1.0
413.5	4.85	control	1	2.214	300	700	500	n/a
418.35	4.85	control	1	1.73	700	300	500	n/a
427.2	4.93	O-P+	0	n/a	worn	state	freight	2.0
432.13	4.93	O+P+	1	1.454	slip	draft	craft	2.0
437.06	4.93	O-P-	1	1.079	jungle	drift	mess	n/a
441.99	4.93	O+P+	1	2.054	pulse	gloss	moss	2.0
446.92	4.93	O-P+	1	0.935	chart	farm	heart	1.0
451.85	4.93	O-P-	1	1.22	crib	spine	zest	n/a
456.78	4.93	O-P+	1	0.783	perch	wilt	birch	1.0
461.71	4.93	O-P-	1	1.052	stews	toot	hark	n/a
466.64	4.93	O+P+	1	1.118	test	choice	rest	1.0
471.57	4.93	O-P-	1	1.036	teach	fund	edge	n/a
480.5	4.85	control	1	1.049	700	500	700	1.0
485.35	4.85	control	0	1.424	300	500	300	1.0
490.2	4.85	control	1	1.145	300	700	700	2.0
495.05	4.85	control	1	1.056	300	500	700	n/a
499.9	4.85	control	1	0.96	500	700	700	2.0
504.75	4.85	control	1	1.052	700	300	500	n/a
509.6	4.85	control	1	1.577	500	300	700	n/a
514.45	4.85	control	1	1.013	700	300	700	1.0
519.3	4.85	control	1	1.009	500	300	300	2.0
524.15	4.85	control	1	1.356	500	700	300	n/a
