onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P+	1	1.1	stressed	spittle	jest	1.0
8.91	4.91	O-P-	1	0.728	shows	seep	pledge	n/a
13.82	4.91	O+P+	1	0.623	huddle	stung	rung	2.0
18.73	4.91	O-P-	1	0.654	bath	cope	leads	n/a
23.64	4.91	O-P+	1	0.923	quote	shut	throat	1.0
28.55	4.91	O-P+	1	0.593	dance	curve	serve	2.0
33.46	4.91	O-P-	1	0.626	ought	pace	king	n/a
38.37	4.91	O+P+	1	1.215	free	took	three	1.0
43.28	4.91	O+P+	1	0.82	hoop	weave	heave	2.0
48.19	4.91	O-P-	1	0.671	debt	gaze	grill	n/a
57.1	4.91	control	1	0.83	/ /	/ \	\ \	n/a
62.01	4.91	control	1	0.845	\ \	\ /	/ \	n/a
66.92	4.91	control	1	0.645	/ /	/ \	/ /	1.0
71.83	4.91	control	1	0.609	\ /	/ \	/ /	n/a
76.74	4.91	control	1	0.406	\ \	\ /	\ /	2.0
81.65	4.91	control	1	0.616	\ /	/ \	\ /	1.0
86.56	4.91	control	1	0.452	\ \	\ /	\ \	1.0
91.47	4.91	control	1	0.584	/ /	/ \	/ \	2.0
96.38	4.91	control	1	0.686	\ /	/ \	/ \	2.0
101.29	4.91	control	1	0.908	/ \	/ /	\ /	n/a
110.2	4.91	O+P+	1	0.87	blooms	prank	grooms	1.0
115.11	4.91	O-P-	1	0.677	mild	weep	drag	n/a
120.02	4.91	O-P-	1	0.847	people	girl	what	n/a
124.93	4.91	O+P+	1	1.555	wrong	round	ground	2.0
129.84	4.91	O-P+	1	0.715	clip	weed	plead	2.0
134.75	4.91	O-P-	1	0.642	shine	skip	cute	n/a
139.66	4.91	O-P-	1	0.638	town	gain	five	n/a
144.57	4.91	O-P+	1	0.876	throats	startle	quotes	1.0
149.48	4.91	O+P+	1	1.563	malt	coin	halt	1.0
154.39	4.91	O-P+	1	1.082	broth	sneer	smear	2.0
163.3	4.91	control	1	0.794	/ \	/ /	/ \	1.0
168.21	4.91	control	1	0.551	\ /	\ \	\ \	2.0
173.12	4.91	control	1	1.132	\ /	\ \	\ /	1.0
178.03	4.91	control	1	0.782	/ \	\ \	/ /	n/a
182.94	4.91	control	1	0.733	/ /	\ \	/ /	1.0
187.85	4.91	control	1	0.745	/ /	\ \	\ /	n/a
192.76	4.91	control	1	0.681	/ /	\ \	\ \	2.0
197.67	4.91	control	1	1.254	\ /	/ /	/ \	n/a
202.58	4.91	control	1	0.956	\ \	/ /	/ \	n/a
207.49	4.91	control	1	0.538	/ \	/ /	/ /	2.0
216.4	4.91	O+P+	1	0.67	squash	stacked	hacked	2.0
