onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	O-P+	1	1.375	guide	folk	smoke	2.0
8.93	4.93	O-P-	1	1.206	belt	wave	struck	n/a
13.86	4.93	O-P+	1	1.4	clone	trash	moan	1.0
18.79	4.93	O+P+	1	1.708	bench	lean	dean	2.0
23.72	4.93	O-P+	1	1.255	type	globe	ripe	1.0
28.65	4.93	O-P-	1	1.53	shacks	hinge	tong	n/a
33.58	4.93	O+P+	1	1.409	bond	brass	pond	1.0
38.51	4.93	O+P+	1	1.203	flask	slime	dime	2.0
43.44	4.93	O-P-	1	1.282	hike	lurch	loaf	n/a
48.37	4.93	O-P-	1	1.484	crook	sneeze	stout	n/a
57.3	4.85	control	1	1.392	300	500	700	n/a
62.15	4.85	control	1	1.305	500	700	300	n/a
67.0	4.85	control	1	1.318	300	500	300	1.0
71.85	4.85	control	1	1.474	700	300	500	n/a
76.7	4.85	control	1	1.463	500	300	300	2.0
81.55	4.85	control	1	1.428	700	500	700	1.0
86.4	4.85	control	1	2.136	700	300	700	1.0
91.25	4.85	control	1	1.531	300	700	700	2.0
96.1	4.85	control	1	1.511	500	700	700	2.0
100.95	4.85	control	1	2.014	500	300	700	n/a
109.8	4.93	O-P+	1	2.554	tying	cursed	thirst	2.0
114.73	4.93	O-P+	1	1.39	coil	stomp	swamp	2.0
119.66	4.93	O-P-	1	1.45	crude	damp	cops	n/a
124.59	4.93	O-P-	1	1.22	bound	roof	mark	n/a
129.52	4.93	O+P+	1	1.155	mumble	dressed	messed	2.0
134.45	4.93	O-P-	1	2.563	yours	shame	tube	n/a
139.38	4.93	O-P-	1	1.738	blank	heap	odds	n/a
144.31	4.93	O-P+	1	1.34	force	judge	source	1.0
149.24	4.93	O+P+	1	1.537	stripe	spoil	swipe	1.0
154.17	4.93	O+P+	1	1.222	crutch	chuckle	clutch	1.0
163.1	4.85	control	1	1.231	300	700	300	1.0
167.95	4.85	control	1	1.326	300	500	500	2.0
172.8	4.85	control	1	1.518	300	700	500	n/a
177.65	4.85	control	1	1.955	500	300	500	1.0
182.5	4.85	control	1	1.302	500	700	500	1.0
187.35	4.85	control	1	1.278	700	500	300	n/a
192.2	4.85	control	1	1.406	700	500	500	2.0
197.05	4.85	control	1	1.4	700	300	500	n/a
201.9	4.85	control	1	1.544	500	300	700	n/a
206.75	4.85	control	1	1.411	700	300	300	2.0
215.6	4.93	O+P+	1	1.604	bees	clothe	fees	1.0
220.53	4.93	O-P+	1	1.552	spaced	dangle	chased	1.0
225.46	4.93	O-P-	1	1.453	bull	dice	chuck	n/a
230.39	4.93	O+P+	1	1.399	ring	move	prove	2.0
235.32	4.93	O+P+	1	1.326	scald	ceased	greased	2.0
240.25	4.93	O-P+	1	1.287	news	beyond	whose	1.0
245.18	4.93	O-P-	1	1.019	sand	catch	truck	n/a
250.11	4.93	O-P-	1	2.373	chick	peas	drier	n/a
255.04	4.93	O-P+	1	1.359	milk	proud	crowd	2.0
259.97	4.93	O-P-	1	1.283	just	front	then	n/a
268.9	4.85	control	1	1.234	700	500	700	1.0
273.75	4.85	control	1	1.487	700	300	500	n/a
278.6	4.85	control	1	1.295	500	300	700	n/a
283.45	4.85	control	1	1.389	500	300	300	2.0
288.3	4.85	control	1	1.537	500	700	700	2.0
293.15	4.85	control	1	1.499	300	500	700	n/a
298.0	4.85	control	1	1.349	300	500	300	1.0
302.85	4.85	control	1	1.545	500	700	300	n/a
307.7	4.85	control	1	1.77	300	700	700	2.0
312.55	4.85	control	1	1.343	700	300	700	1.0
321.4	4.93	O-P-	1	1.407	deed	thaw	lamb	n/a
326.33	4.93	O-P+	1	1.363	tense	drunk	monk	2.0
331.26	4.93	O+P+	1	1.597	haze	scold	fold	2.0
336.19	4.93	O+P+	1	1.793	bite	hump	kite	1.0
341.12	4.93	O-P-	1	1.278	thug	crossed	surf	n/a
346.05	4.93	O+P+	1	1.692	food	golf	mood	1.0
350.98	4.93	O-P+	1	1.354	lace	shrink	vase	1.0
355.91	4.93	O-P+	1	1.335	poodle	lame	maim	2.0
360.84	4.93	O-P-	1	1.307	goods	core	hill	n/a
365.77	4.93	O-P-	1	1.764	fleet	loyal	urge	n/a
374.7	4.85	control	1	1.37	300	500	500	2.0
379.55	4.85	control	1	1.449	500	300	700	n/a
384.4	4.85	control	1	1.487	700	300	300	2.0
389.25	4.85	control	1	1.45	700	500	300	n/a
394.1	4.85	control	1	1.487	500	300	500	1.0
398.95	4.85	control	1	1.488	700	500	500	2.0
403.8	4.85	control	1	1.271	300	700	300	1.0
408.65	4.85	control	1	2.01	500	700	500	1.0
413.5	4.85	control	1	2.194	300	700	500	n/a
418.35	4.85	control	1	1.96	700	300	500	n/a
427.2	4.93	O-P+	1	1.266	worn	state	freight	2.0
432.13	4.93	O+P+	1	1.353	slip	draft	craft	2.0
437.06	4.93	O-P-	1	1.041	jungle	drift	mess	n/a
441.99	4.93	O+P+	1	1.348	pulse	gloss	moss	2.0
446.92	4.93	O-P+	1	1.085	chart	farm	heart	1.0
451.85	4.93	O-P-	1	2.196	crib	spine	zest	n/a
456.78	4.93	O-P+	1	1.442	perch	wilt	birch	1.0
461.71	4.93	O-P-	1	1.46	stews	toot	hark	n/a
466.64	4.93	O+P+	1	2.002	test	choice	rest	1.0
471.57	4.93	O-P-	1	1.341	teach	fund	edge	n/a
480.5	4.85	control	1	1.413	700	500	700	1.0
485.35	4.85	control	1	1.742	300	500	300	1.0
490.2	4.85	control	1	1.449	300	700	700	2.0
495.05	4.85	control	1	1.539	300	500	700	n/a
499.9	4.85	control	1	1.475	500	700	700	2.0
504.75	4.85	control	1	1.751	700	300	500	n/a
509.6	4.85	control	1	1.623	500	300	700	n/a
514.45	4.85	control	1	2.558	700	300	700	1.0
519.3	4.85	control	1	1.461	500	300	300	2.0
524.15	4.85	control	1	1.582	500	700	300	n/a
