onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	Related	1	1.485	unfit	checkers	chess	2.0
8.93	4.93	Unrelated	1	1.352	ready	trade	square	n/a
13.86	4.93	Related	1	1.358	mom	saturn	dad	1.0
18.79	4.93	Related	1	1.387	thankful	algae	fungus	2.0
23.72	4.93	Unrelated	1	1.727	forgave	glide	maiden	n/a
28.65	4.93	Related	1	1.357	quack	ivy	duck	1.0
33.58	4.93	Related	1	1.434	skunk	cuff	stink	1.0
38.51	4.93	Unrelated	1	2.389	gently	tube	ceiling	n/a
43.44	4.93	Unrelated	1	1.915	weep	charcoal	dice	n/a
48.37	4.93	Related	1	1.374	fit	murder	kill	2.0
57.3	4.85	control	1	1.408	700	500	700	1.0
62.15	4.85	control	1	1.355	500	700	700	2.0
67.0	4.85	control	1	1.286	500	700	300	n/a
71.85	4.85	control	1	1.23	300	500	300	1.0
76.7	4.85	control	1	1.192	700	300	500	n/a
81.55	4.85	control	1	1.437	500	300	700	n/a
86.4	4.85	control	1	1.248	700	300	700	1.0
91.25	4.85	control	1	1.588	300	500	700	n/a
96.1	4.85	control	1	1.303	300	700	700	2.0
100.95	4.85	control	1	1.26	500	300	300	2.0
109.8	4.93	Unrelated	1	1.575	dessert	stir	bony	n/a
114.73	4.93	Related	1	1.358	ape	beaver	monkey	1.0
119.66	4.93	Related	1	1.35	rack	cologne	perfume	2.0
124.59	4.93	Unrelated	1	1.77	lion	steam	gap	n/a
129.52	4.93	Related	1	1.125	turn	love	hate	2.0
134.45	4.93	Unrelated	1	1.482	plug	select	belly	n/a
139.38	4.93	Related	1	1.245	dish	fancy	plate	1.0
144.31	4.93	Unrelated	1	1.277	june	lord	oil	n/a
149.24	4.93	Related	1	1.35	sunny	pepper	cloudy	1.0
154.17	4.93	Related	1	1.542	cooling	teach	learn	2.0
163.1	4.85	control	1	1.213	500	300	700	n/a
167.95	4.85	control	1	1.31	300	500	500	2.0
172.8	4.85	control	1	1.37	500	300	500	1.0
177.65	4.85	control	1	1.41	700	500	300	n/a
182.5	4.85	control	1	1.458	700	500	500	2.0
187.35	4.85	control	1	1.348	700	300	300	2.0
192.2	4.85	control	1	1.417	500	700	500	1.0
197.05	4.85	control	1	1.298	300	700	300	1.0
201.9	4.85	control	1	1.389	700	300	500	n/a
206.75	4.85	control	1	1.328	300	700	500	n/a
215.6	4.93	Unrelated	1	1.646	flow	warm	teaching	n/a
220.53	4.93	Related	1	1.418	earth	sat	ground	1.0
225.46	4.93	Unrelated	1	1.899	drinking	suit	poem	n/a
