onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P-	1	1.812	spies	rasp	drown	n/a
8.91	4.91	O-P-	1	1.698	harp	cruised	runt	n/a
13.82	4.91	O+P+	1	1.659	slave	hard	yard	2.0
18.73	4.91	O-P+	1	1.445	click	psalm	prom	n/a
23.64	4.91	O-P+	1	2.237	white	guilt	height	n/a
28.55	4.91	O+P+	1	1.863	temple	spend	tend	2.0
33.46	4.91	O-P-	1	1.735	lust	junk	bats	n/a
38.37	4.91	O+P+	1	2.224	team	pure	dream	1.0
43.28	4.91	O-P-	1	1.664	stack	castle	mint	n/a
48.19	4.91	O-P+	1	2.048	half	flag	graph	n/a
57.1	4.91	control	1	1.433	\ \	\ /	\ /	2.0
62.01	4.91	control	1	1.58	\ /	/ \	/ \	2.0
66.92	4.91	control	1	1.427	/ /	/ \	\ \	n/a
71.83	4.91	control	1	1.558	/ /	/ \	/ /	1.0
76.74	4.91	control	1	1.392	\ \	\ /	/ \	n/a
81.65	4.91	control	1	1.413	\ /	/ \	\ /	1.0
86.56	4.91	control	1	1.29	\ /	/ \	/ /	n/a
91.47	4.91	control	1	1.667	/ /	/ \	/ \	2.0
96.38	4.91	control	1	1.383	/ \	/ /	\ /	n/a
101.29	4.91	control	1	1.387	\ \	\ /	\ \	1.0
110.2	4.91	O-P-	1	1.517	dung	squirm	cramp	n/a
115.11	4.91	O+P+	1	1.641	fool	cash	tool	1.0
120.02	4.91	O-P+	1	1.897	dense	crowned	hound	n/a
124.93	4.91	O-P+	1	1.812	mime	smash	rhyme	n/a
129.84	4.91	O+P+	1	2.32	ample	purse	nurse	2.0
134.75	4.91	O-P-	1	1.631	smooth	beard	uncle	n/a
139.66	4.91	O-P-	1	1.62	mold	twice	jack	n/a
144.57	4.91	O+P+	1	1.474	start	mind	part	1.0
149.48	4.91	O-P-	1	1.335	cracked	bunch	boots	n/a
154.39	4.91	O-P+	0	1.911	check	prize	rise	n/a
163.3	4.91	control	1	1.352	\ \	/ /	/ \	n/a
168.21	4.91	control	1	1.613	\ /	\ \	\ \	2.0
173.12	4.91	control	1	1.539	/ /	\ \	\ /	n/a
178.03	4.91	control	1	1.24	\ /	/ /	/ \	n/a
182.94	4.91	control	1	1.133	/ /	\ \	\ \	2.0
187.85	4.91	control	1	1.282	\ /	\ \	\ /	1.0
192.76	4.91	control	1	1.408	/ \	\ \	/ /	n/a
197.67	4.91	control	1	0.75	/ /	\ \	/ /	1.0
202.58	4.91	control	1	1.553	/ \	/ /	/ /	2.0
207.49	4.91	control	1	1.509	/ \	/ /	/ \	1.0
216.4	4.91	O-P+	1	1.252	duct	fused	bruised	n/a
221.31	4.91	O-P+	1	1.392	skim	blur	gym	n/a
226.22	4.91	O+P+	0	1.925	sawed	puke	flawed	1.0
231.13	4.91	O-P-	1	1.391	slash	zoos	snag	n/a
236.04	4.91	O-P-	1	1.572	groove	dwarf	lint	n/a
240.95	4.91	O+P+	1	1.512	stamp	glaze	blaze	2.0
245.86	4.91	O-P-	1	1.673	trust	blame	wind	n/a
250.77	4.91	O+P+	1	1.797	harm	lift	swift	2.0
255.68	4.91	O-P+	0	2.615	planned	sludge	bland	n/a
260.59	4.91	O-P-	1	1.578	racks	skit	tripe	n/a
269.5	4.91	control	1	1.379	/ \	\ \	\ \	2.0
274.41	4.91	control	1	1.203	/ /	\ /	/ \	n/a
279.32	4.91	control	1	1.168	/ /	/ \	\ \	n/a
284.23	4.91	control	0	1.455	\ \	/ /	\ \	1.0
289.14	4.91	control	1	1.507	\ /	/ \	/ /	n/a
294.05	4.91	control	1	1.4	/ /	\ /	\ /	2.0
298.96	4.91	control	1	1.404	/ /	\ /	/ /	1.0
303.87	4.91	control	1	1.287	\ \	/ \	/ /	n/a
308.78	4.91	control	1	1.249	\ \	/ /	/ /	2.0
313.69	4.91	control	1	1.0	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	1.375	climb	spit	scar	n/a
327.51	4.91	O-P-	1	1.499	boost	woke	dutch	n/a
