onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	Unrelated	1	2.069	gravel	pants	turkey	n/a
8.91	4.91	Related	1	1.736	driver	silent	quiet	2.0
13.82	4.91	Related	1	1.719	tag	sock	shoe	2.0
18.73	4.91	Unrelated	1	1.033	able	mother	party	n/a
23.64	4.91	Related	1	1.707	throw	weapon	catch	1.0
28.55	4.91	Related	0	1.882	tablet	seafood	shrimp	2.0
33.46	4.91	Related	1	1.967	question	behind	answer	1.0
38.37	4.91	Unrelated	1	1.646	club	paid	thinking	n/a
43.28	4.91	Related	1	1.615	syrup	flown	pancakes	1.0
48.19	4.91	Unrelated	1	2.072	nursery	curtain	roar	n/a
57.1	4.91	control	1	1.714	\ /	/ \	\ /	1.0
62.01	4.91	control	1	1.579	\ /	/ \	/ \	2.0
66.92	4.91	control	1	1.223	\ \	\ /	/ \	n/a
71.83	4.91	control	1	1.262	/ /	/ \	/ /	1.0
76.74	4.91	control	1	1.399	\ /	/ \	/ /	n/a
81.65	4.91	control	0	1.364	/ \	/ /	\ /	n/a
86.56	4.91	control	1	1.426	\ \	\ /	\ \	1.0
91.47	4.91	control	1	1.265	/ /	/ \	\ \	n/a
96.38	4.91	control	1	1.675	/ /	/ \	/ \	2.0
101.29	4.91	control	1	1.311	\ \	\ /	\ /	2.0
110.2	4.91	Related	1	1.218	dog	vote	cat	1.0
115.11	4.91	Related	0	2.221	razor	drag	blade	1.0
120.02	4.91	Unrelated	1	2.63	choppy	bandit	thorn	n/a
124.93	4.91	Related	1	1.724	finish	recall	end	1.0
129.84	4.91	Unrelated	1	1.684	chunk	hoof	stitch	n/a
134.75	4.91	Unrelated	1	1.829	roller	kettle	chalk	n/a
139.66	4.91	Related	1	1.515	peanut	oyster	clam	2.0
144.57	4.91	Unrelated	1	1.637	stream	guy	rear	n/a
149.48	4.91	Related	1	1.591	priest	sketch	draw	2.0
154.39	4.91	Related	1	1.642	stinging	washer	dryer	2.0
163.3	4.91	control	1	1.57	\ \	/ /	/ \	n/a
168.21	4.91	control	1	1.539	\ /	\ \	\ \	2.0
173.12	4.91	control	1	1.573	\ /	\ \	\ /	1.0
178.03	4.91	control	1	1.462	/ /	\ \	\ /	n/a
182.94	4.91	control	1	1.319	/ /	\ \	\ \	2.0
187.85	4.91	control	0	1.637	/ \	/ /	/ /	2.0
192.76	4.91	control	1	1.38	/ /	\ \	/ /	1.0
197.67	4.91	control	1	1.563	/ \	/ /	/ \	1.0
202.58	4.91	control	1	1.422	/ \	\ \	/ /	n/a
207.49	4.91	control	1	1.387	\ /	/ /	/ \	n/a
216.4	4.91	Related	1	1.392	tenth	circus	clown	2.0
221.31	4.91	Unrelated	1	1.496	blanket	cried	split	n/a
226.22	4.91	Related	1	1.592	dipping	smudge	smear	2.0
231.13	4.91	Unrelated	1	1.771	wing	hunter	lemon	n/a
236.04	4.91	Related	1	1.736	rib	jello	pudding	2.0
240.95	4.91	Related	1	2.261	server	flashy	waiter	1.0
245.86	4.91	Related	1	1.336	dime	fuss	nickel	1.0
250.77	4.91	Unrelated	1	1.752	pillow	bounce	grinding	n/a
255.68	4.91	Related	1	1.607	left	got	right	1.0
260.59	4.91	Unrelated	1	1.715	cream	pipe	grip	n/a
269.5	4.91	control	1	1.641	/ \	\ \	\ \	2.0
274.41	4.91	control	1	0.889	/ /	\ /	/ \	n/a
279.32	4.91	control	0	1.567	/ /	/ \	\ \	n/a
284.23	4.91	control	1	1.151	\ \	/ /	\ \	1.0
289.14	4.91	control	1	1.217	\ \	/ /	/ /	2.0
294.05	4.91	control	1	1.399	/ /	\ /	\ /	2.0
298.96	4.91	control	1	1.484	\ /	/ \	/ /	n/a
303.87	4.91	control	1	1.348	/ \	\ \	/ \	1.0
308.78	4.91	control	1	1.76	/ /	\ /	/ /	1.0
313.69	4.91	control	1	1.292	\ \	/ \	/ /	n/a
322.6	4.91	Related	1	1.749	yours	arrive	mine	1.0
327.51	4.91	Unrelated	1	1.582	took	system	head	n/a
332.42	4.91	Related	0	1.57	how	little	big	2.0
337.33	4.91	Unrelated	1	2.207	scar	mister	tunnel	n/a
342.24	4.91	Unrelated	1	1.851	rich	store	pointed	n/a
347.15	4.91	Related	1	1.191	angle	achieve	goal	2.0
352.06	4.91	Related	1	1.685	racket	stealth	tennis	1.0
356.97	4.91	Unrelated	1	1.506	tangle	pretend	barker	n/a
361.88	4.91	Related	1	1.766	glue	lifting	sticky	1.0
366.79	4.91	Related	1	2.012	bush	thunder	lightning	2.0
375.7	4.91	control	1	1.595	\ \	\ /	/ \	n/a
380.61	4.91	control	1	1.431	/ \	\ /	\ /	2.0
385.52	4.91	control	1	1.03	/ \	/ /	\ /	n/a
390.43	4.91	control	1	1.447	\ /	/ /	\ /	1.0
395.34	4.91	control	1	1.333	\ \	/ \	/ \	2.0
400.25	4.91	control	1	1.297	\ \	/ /	\ /	n/a
405.16	4.91	control	1	1.331	\ \	/ \	\ \	1.0
410.07	4.91	control	0	1.279	/ \	\ /	/ \	1.0
414.98	4.91	control	1	1.599	\ /	/ /	/ /	2.0
419.89	4.91	control	1	1.252	/ /	\ \	\ /	n/a
428.8	4.91	Related	1	1.506	lend	instinct	borrow	1.0
433.71	4.91	Unrelated	1	1.612	hearing	formed	bottle	n/a
438.62	4.91	Related	1	1.852	mask	cheese	cracker	2.0
443.53	4.91	Related	0	1.372	plenty	motion	movement	2.0
448.44	4.91	Related	1	1.1	cow	silver	gold	2.0
453.35	4.91	Unrelated	1	1.483	tilting	jewel	moan	n/a
458.26	4.91	Unrelated	1	1.445	corn	pencil	blame	n/a
463.17	4.91	Related	1	1.514	thin	jack	fat	1.0
468.08	4.91	Unrelated	1	1.637	starter	pigeon	gamble	n/a
472.99	4.91	Related	1	2.318	temper	deaf	tantrum	1.0
481.9	4.91	control	1	1.222	/ \	/ /	/ /	2.0
486.81	4.91	control	1	1.685	\ \	/ \	/ \	2.0
491.72	4.91	control	1	1.978	\ \	/ \	\ /	n/a
496.63	4.91	control	1	1.226	/ /	/ \	/ /	1.0
501.54	4.91	control	1	1.408	\ /	\ \	\ \	2.0
506.45	4.91	control	1	1.531	\ /	/ /	\ \	n/a
511.36	4.91	control	1	1.785	/ \	\ \	/ /	n/a
516.27	4.91	control	1	1.122	/ \	\ \	/ \	1.0
521.18	4.91	control	1	1.117	\ \	\ /	\ \	1.0
526.09	4.91	control	1	1.211	/ /	\ /	\ \	n/a
