onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	Related	1	1.095	unfit	checkers	chess	2.0
8.93	4.93	Unrelated	1	1.293	ready	trade	square	n/a
13.86	4.93	Related	1	1.284	mom	saturn	dad	1.0
18.79	4.93	Related	1	1.19	thankful	algae	fungus	2.0
23.72	4.93	Unrelated	1	1.614	forgave	glide	maiden	n/a
28.65	4.93	Related	1	1.357	quack	ivy	duck	1.0
33.58	4.93	Related	1	1.229	skunk	cuff	stink	1.0
38.51	4.93	Unrelated	1	1.331	gently	tube	ceiling	n/a
43.44	4.93	Unrelated	1	1.766	weep	charcoal	dice	n/a
48.37	4.93	Related	1	1.115	fit	murder	kill	2.0
57.3	4.85	control	1	1.186	700	500	700	1.0
62.15	4.85	control	1	1.153	500	700	700	2.0
67.0	4.85	control	1	1.115	500	700	300	n/a
71.85	4.85	control	1	1.04	300	500	300	1.0
76.7	4.85	control	1	1.045	700	300	500	n/a
81.55	4.85	control	1	1.205	500	300	700	n/a
86.4	4.85	control	1	1.062	700	300	700	1.0
91.25	4.85	control	1	1.018	300	500	700	n/a
96.1	4.85	control	1	1.091	300	700	700	2.0
100.95	4.85	control	1	1.252	500	300	300	2.0
109.8	4.93	Unrelated	1	1.533	dessert	stir	bony	n/a
114.73	4.93	Related	1	1.16	ape	beaver	monkey	1.0
119.66	4.93	Related	1	0.976	rack	cologne	perfume	2.0
124.59	4.93	Unrelated	1	1.166	lion	steam	gap	n/a
129.52	4.93	Related	1	1.133	turn	love	hate	2.0
134.45	4.93	Unrelated	1	1.209	plug	select	belly	n/a
139.38	4.93	Related	1	1.302	dish	fancy	plate	1.0
144.31	4.93	Unrelated	1	1.248	june	lord	oil	n/a
149.24	4.93	Related	1	1.075	sunny	pepper	cloudy	1.0
154.17	4.93	Related	1	1.091	cooling	teach	learn	2.0
163.1	4.85	control	1	1.121	500	300	700	n/a
167.95	4.85	control	1	1.14	300	500	500	2.0
172.8	4.85	control	1	1.23	500	300	500	1.0
177.65	4.85	control	1	1.155	700	500	300	n/a
182.5	4.85	control	1	1.034	700	500	500	2.0
187.35	4.85	control	1	1.363	700	300	300	2.0
192.2	4.85	control	1	1.229	500	700	500	1.0
197.05	4.85	control	1	1.138	300	700	300	1.0
201.9	4.85	control	1	1.096	700	300	500	n/a
206.75	4.85	control	1	1.049	300	700	500	n/a
215.6	4.93	Unrelated	1	1.489	flow	warm	teaching	n/a
220.53	4.93	Related	1	1.155	earth	sat	ground	1.0
225.46	4.93	Unrelated	1	1.158	drinking	suit	poem	n/a
230.39	4.93	Unrelated	1	1.531	flood	spell	dim	n/a
235.32	4.93	Related	1	1.01	awful	fuel	gas	2.0
240.25	4.93	Related	1	1.793	without	again	repeat	2.0
245.18	4.93	Unrelated	1	1.177	standard	heavy	wish	n/a
250.11	4.93	Related	1	1.35	web	explode	spider	1.0
255.04	4.93	Related	1	1.419	trash	hive	garbage	1.0
259.97	4.93	Related	1	1.369	law	human	person	2.0
268.9	4.85	control	1	1.29	500	300	300	2.0
273.75	4.85	control	1	1.126	300	500	700	n/a
278.6	4.85	control	1	1.187	700	300	500	n/a
283.45	4.85	control	1	1.035	300	500	300	1.0
288.3	4.85	control	1	1.17	300	700	700	2.0
293.15	4.85	control	1	1.069	500	700	700	2.0
298.0	4.85	control	1	1.007	500	700	300	n/a
302.85	4.85	control	1	1.18	700	300	700	1.0
307.7	4.85	control	1	1.186	500	300	700	n/a
312.55	4.85	control	1	1.06	700	500	700	1.0
321.4	4.93	Related	1	1.044	loud	awake	asleep	2.0
326.33	4.93	Unrelated	1	1.383	pirate	shorten	bandage	n/a
331.26	4.93	Related	1	1.259	gather	alike	collect	1.0
336.19	4.93	Related	1	1.218	spread	ship	boat	2.0
341.12	4.93	Unrelated	1	1.557	winking	soak	invent	n/a
346.05	4.93	Unrelated	1	1.627	mop	swan	tug	n/a
350.98	4.93	Related	1	1.51	gang	hide	seek	2.0
355.91	4.93	Related	1	1.391	backbone	loaf	spine	1.0
360.84	4.93	Unrelated	1	1.504	fur	youngest	compass	n/a
365.77	4.93	Related	1	1.053	film	giving	movie	1.0
374.7	4.85	control	1	1.3	500	300	700	n/a
379.55	4.85	control	1	1.257	300	500	500	2.0
384.4	4.85	control	1	1.272	300	700	500	n/a
389.25	4.85	control	1	1.06	300	700	300	1.0
394.1	4.85	control	1	1.291	700	500	500	2.0
398.95	4.85	control	1	1.086	700	500	300	n/a
403.8	4.85	control	1	1.175	500	700	500	1.0
408.65	4.85	control	1	1.125	500	300	500	1.0
413.5	4.85	control	1	1.079	700	300	300	2.0
418.35	4.85	control	1	0.941	700	300	500	n/a
427.2	4.93	Unrelated	1	1.17	sunset	creek	arrow	n/a
