onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	O-P+	1	2.888	youth	bridge	truth	n/a
8.93	4.93	O-P+	1	2.436	june	term	firm	n/a
13.86	4.93	O+P+	1	1.613	hold	plant	cold	1.0
18.79	4.93	O-P-	1	1.334	client	flung	trick	n/a
23.72	4.93	O+P+	1	1.854	slept	cone	bone	2.0
28.65	4.93	O-P-	1	2.464	fight	look	show	n/a
33.58	4.93	O-P-	1	1.652	yelp	stirred	hilt	n/a
38.51	4.93	O+P+	1	2.367	wife	west	best	2.0
43.44	4.93	O-P-	1	2.365	flown	weave	latch	n/a
48.37	4.93	O-P+	0	2.645	beak	lance	sleek	n/a
57.3	4.85	control	1	1.281	500	700	700	2.0
62.15	4.85	control	1	1.344	300	700	700	2.0
67.0	4.85	control	0	2.642	300	500	700	n/a
71.85	4.85	control	1	1.712	300	500	300	1.0
76.7	4.85	control	1	1.365	500	300	700	n/a
81.55	4.85	control	1	1.334	700	300	700	1.0
86.4	4.85	control	1	2.269	500	700	300	n/a
91.25	4.85	control	0	n/a	500	300	300	2.0
96.1	4.85	control	1	1.589	700	300	500	n/a
100.95	4.85	control	1	1.706	700	500	700	1.0
109.8	4.93	O-P+	1	2.062	toys	lore	poise	n/a
114.73	4.93	O-P-	1	1.317	layer	scream	snap	n/a
119.66	4.93	O+P+	1	1.268	park	corn	born	2.0
124.59	4.93	O-P+	1	2.291	snug	froze	blows	n/a
129.52	4.93	O-P-	1	1.861	healed	reek	fling	n/a
134.45	4.93	O+P+	0	n/a	scanned	brisk	tanned	1.0
139.38	4.93	O-P+	0	2.61	slab	stew	glue	n/a
144.31	4.93	O+P+	0	2.577	hurled	slouch	curled	1.0
149.24	4.93	O-P-	1	1.458	strayed	pawn	carve	n/a
154.17	4.93	O-P-	1	1.362	toil	shrunk	hoist	n/a
163.1	4.85	control	1	1.191	700	500	300	n/a
167.95	4.85	control	1	1.413	700	300	300	2.0
172.8	4.85	control	1	1.221	500	300	700	n/a
177.65	4.85	control	1	2.163	700	300	500	n/a
182.5	4.85	control	1	1.638	300	500	500	2.0
187.35	4.85	control	0	2.084	300	700	300	1.0
192.2	4.85	control	1	2.14	300	700	500	n/a
197.05	4.85	control	1	2.564	500	300	500	1.0
201.9	4.85	control	1	1.594	700	500	500	2.0
206.75	4.85	control	0	n/a	500	700	500	1.0
215.6	4.93	O-P-	1	1.896	plum	wince	hick	n/a
220.53	4.93	O-P+	0	1.931	left	style	while	n/a
225.46	4.93	O+P+	0	2.653	thud	boom	stud	1.0
230.39	4.93	O-P+	0	1.376	lord	rush	ward	n/a
235.32	4.93	O-P+	1	2.261	line	fast	sign	n/a
240.25	4.93	O+P+	1	1.221	built	vote	note	2.0
245.18	4.93	O-P-	1	2.384	whim	skies	plush	n/a
250.11	4.93	O-P-	1	1.512	vents	swum	grail	n/a
255.04	4.93	O+P+	0	n/a	thank	gift	shift	2.0
259.97	4.93	O-P-	0	n/a	mine	stop	single	n/a
268.9	4.85	control	1	1.339	500	700	700	2.0
273.75	4.85	control	1	2.546	300	500	700	n/a
278.6	4.85	control	1	1.292	700	300	500	n/a
283.45	4.85	control	1	1.16	700	300	700	1.0
288.3	4.85	control	1	1.361	500	300	300	2.0
293.15	4.85	control	1	1.848	500	300	700	n/a
298.0	4.85	control	1	1.645	300	500	300	1.0
302.85	4.85	control	1	1.583	500	700	300	n/a
307.7	4.85	control	1	1.27	300	700	700	2.0
312.55	4.85	control	1	1.811	700	500	700	1.0
321.4	4.93	O-P-	1	1.635	lunge	tack	twelfth	n/a
326.33	4.93	O+P+	1	2.351	twin	moat	goat	2.0
331.26	4.93	O-P+	1	1.967	stub	coughed	loft	n/a
336.19	4.93	O-P+	0	n/a	clerk	house	work	n/a
341.12	4.93	O+P+	1	2.762	jeep	crown	sheep	1.0
346.05	4.93	O-P-	1	1.587	idle	dumb	grey	n/a
350.98	4.93	O-P-	1	2.33	scoff	bribe	splice	n/a
355.91	4.93	O+P+	1	1.651	squeeze	lump	freeze	1.0
360.84	4.93	O-P+	1	2.193	join	school	rule	n/a
365.77	4.93	O-P-	0	2.293	shrine	sting	probe	n/a
374.7	4.85	control	1	1.194	700	500	300	n/a
379.55	4.85	control	0	2.147	700	300	500	n/a
384.4	4.85	control	1	1.598	300	500	500	2.0
389.25	4.85	control	0	n/a	700	500	500	2.0
394.1	4.85	control	0	2.09	500	300	700	n/a
398.95	4.85	control	1	2.141	500	300	500	1.0
403.8	4.85	control	0	1.853	500	700	500	1.0
408.65	4.85	control	1	1.076	700	300	300	2.0
413.5	4.85	control	1	2.154	300	700	500	n/a
418.35	4.85	control	1	1.992	300	700	300	1.0
427.2	4.93	O-P-	1	1.25	baffle	whacked	grit	n/a
432.13	4.93	O-P+	0	n/a	strung	snort	quart	n/a
437.06	4.93	O-P-	1	2.151	storm	wire	guess	n/a
441.99	4.93	O+P+	1	1.877	loud	eighth	cloud	1.0
446.92	4.93	O-P-	1	1.669	lend	pill	quart	n/a
451.85	4.93	O+P+	1	1.411	glum	licked	kicked	2.0
456.78	4.93	O-P+	1	1.849	rough	vague	stuff	n/a
461.71	4.93	O-P-	1	2.282	foot	snake	thin	n/a
466.64	4.93	O+P+	0	n/a	soil	slow	grow	2.0
471.57	4.93	O-P+	1	2.47	hope	colt	soap	n/a
480.5	4.85	control	1	1.229	700	300	500	n/a
485.35	4.85	control	1	1.691	300	700	700	2.0
490.2	4.85	control	1	1.348	300	500	700	n/a
495.05	4.85	control	1	1.25	700	300	700	1.0
499.9	4.85	control	1	1.784	500	300	300	2.0
504.75	4.85	control	1	1.055	500	300	700	n/a
509.6	4.85	control	0	2.381	300	500	300	1.0
514.45	4.85	control	1	1.426	500	700	300	n/a
519.3	4.85	control	1	1.818	500	700	700	2.0
524.15	4.85	control	1	2.314	700	500	700	1.0
