onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	Unrelated	1	1.424	gravel	pants	turkey	n/a
8.91	4.91	Related	1	1.485	driver	silent	quiet	2.0
13.82	4.91	Related	1	0.822	tag	sock	shoe	2.0
18.73	4.91	Unrelated	1	1.338	able	mother	party	n/a
23.64	4.91	Related	1	0.986	throw	weapon	catch	1.0
28.55	4.91	Related	1	0.882	tablet	seafood	shrimp	2.0
33.46	4.91	Related	1	0.918	question	behind	answer	1.0
38.37	4.91	Unrelated	1	1.373	club	paid	thinking	n/a
43.28	4.91	Related	1	0.75	syrup	flown	pancakes	1.0
48.19	4.91	Unrelated	1	1.551	nursery	curtain	roar	n/a
57.1	4.91	control	1	0.631	\ /	/ \	\ /	1.0
62.01	4.91	control	1	0.748	\ /	/ \	/ \	2.0
66.92	4.91	control	1	0.686	\ \	\ /	/ \	n/a
71.83	4.91	control	1	0.634	/ /	/ \	/ /	1.0
76.74	4.91	control	1	0.707	\ /	/ \	/ /	n/a
81.65	4.91	control	1	0.81	/ \	/ /	\ /	n/a
86.56	4.91	control	1	0.87	\ \	\ /	\ \	1.0
91.47	4.91	control	1	0.96	/ /	/ \	\ \	n/a
96.38	4.91	control	1	0.74	/ /	/ \	/ \	2.0
101.29	4.91	control	1	0.72	\ \	\ /	\ /	2.0
110.2	4.91	Related	1	1.111	dog	vote	cat	1.0
115.11	4.91	Related	1	0.924	razor	drag	blade	1.0
120.02	4.91	Unrelated	1	1.047	choppy	bandit	thorn	n/a
124.93	4.91	Related	1	1.108	finish	recall	end	1.0
129.84	4.91	Unrelated	1	1.375	chunk	hoof	stitch	n/a
134.75	4.91	Unrelated	1	0.923	roller	kettle	chalk	n/a
139.66	4.91	Related	1	0.879	peanut	oyster	clam	2.0
144.57	4.91	Unrelated	1	1.639	stream	guy	rear	n/a
149.48	4.91	Related	1	0.994	priest	sketch	draw	2.0
154.39	4.91	Related	1	1.101	stinging	washer	dryer	2.0
163.3	4.91	control	1	0.668	\ \	/ /	/ \	n/a
168.21	4.91	control	1	0.682	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.691	\ /	\ \	\ /	1.0
178.03	4.91	control	1	0.749	/ /	\ \	\ /	n/a
182.94	4.91	control	1	0.662	/ /	\ \	\ \	2.0
187.85	4.91	control	1	0.877	/ \	/ /	/ /	2.0
192.76	4.91	control	1	0.702	/ /	\ \	/ /	1.0
197.67	4.91	control	1	1.541	/ \	/ /	/ \	1.0
202.58	4.91	control	1	0.961	/ \	\ \	/ /	n/a
207.49	4.91	control	1	0.675	\ /	/ /	/ \	n/a
216.4	4.91	Related	1	0.987	tenth	circus	clown	2.0
221.31	4.91	Unrelated	1	1.057	blanket	cried	split	n/a
226.22	4.91	Related	1	1.584	dipping	smudge	smear	2.0
231.13	4.91	Unrelated	1	0.938	wing	hunter	lemon	n/a
236.04	4.91	Related	1	0.799	rib	jello	pudding	2.0
240.95	4.91	Related	1	1.013	server	flashy	waiter	1.0
245.86	4.91	Related	1	1.817	dime	fuss	nickel	1.0
250.77	4.91	Unrelated	1	0.938	pillow	bounce	grinding	n/a
255.68	4.91	Related	1	0.741	left	got	right	1.0
260.59	4.91	Unrelated	1	1.23	cream	pipe	grip	n/a
269.5	4.91	control	1	0.748	/ \	\ \	\ \	2.0
274.41	4.91	control	1	0.657	/ /	\ /	/ \	n/a
279.32	4.91	control	1	0.541	/ /	/ \	\ \	n/a
284.23	4.91	control	1	0.625	\ \	/ /	\ \	1.0
289.14	4.91	control	1	0.605	\ \	/ /	/ /	2.0
294.05	4.91	control	1	0.653	/ /	\ /	\ /	2.0
298.96	4.91	control	1	0.632	\ /	/ \	/ /	n/a
303.87	4.91	control	1	1.247	/ \	\ \	/ \	1.0
308.78	4.91	control	1	0.843	/ /	\ /	/ /	1.0
313.69	4.91	control	1	0.936	\ \	/ \	/ /	n/a
322.6	4.91	Related	1	1.093	yours	arrive	mine	1.0
327.51	4.91	Unrelated	1	0.909	took	system	head	n/a
332.42	4.91	Related	1	0.978	how	little	big	2.0
337.33	4.91	Unrelated	1	0.973	scar	mister	tunnel	n/a
342.24	4.91	Unrelated	1	1.409	rich	store	pointed	n/a
347.15	4.91	Related	1	1.092	angle	achieve	goal	2.0
352.06	4.91	Related	1	0.949	racket	stealth	tennis	1.0
356.97	4.91	Unrelated	1	1.348	tangle	pretend	barker	n/a
361.88	4.91	Related	1	1.336	glue	lifting	sticky	1.0
366.79	4.91	Related	1	0.794	bush	thunder	lightning	2.0
375.7	4.91	control	1	0.688	\ \	\ /	/ \	n/a
380.61	4.91	control	1	0.575	/ \	\ /	\ /	2.0
385.52	4.91	control	0	0.813	/ \	/ /	\ /	n/a
390.43	4.91	control	1	0.644	\ /	/ /	\ /	1.0
395.34	4.91	control	1	0.641	\ \	/ \	/ \	2.0
400.25	4.91	control	1	0.921	\ \	/ /	\ /	n/a
405.16	4.91	control	1	0.604	\ \	/ \	\ \	1.0
410.07	4.91	control	1	0.697	/ \	\ /	/ \	1.0
414.98	4.91	control	1	0.823	\ /	/ /	/ /	2.0
419.89	4.91	control	1	0.687	/ /	\ \	\ /	n/a
428.8	4.91	Related	1	0.881	lend	instinct	borrow	1.0
433.71	4.91	Unrelated	1	1.384	hearing	formed	bottle	n/a
