onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P-	1	0.424	spies	rasp	drown	n/a
8.91	4.91	O-P-	1	0.514	harp	cruised	runt	n/a
13.82	4.91	O+P+	1	0.535	slave	hard	yard	2.0
18.73	4.91	O-P+	1	0.513	click	psalm	prom	n/a
23.64	4.91	O-P+	1	0.612	white	guilt	height	n/a
28.55	4.91	O+P+	1	0.41	temple	spend	tend	2.0
33.46	4.91	O-P-	1	0.58	lust	junk	bats	n/a
38.37	4.91	O+P+	1	0.506	team	pure	dream	1.0
43.28	4.91	O-P-	1	0.456	stack	castle	mint	n/a
48.19	4.91	O-P+	1	0.509	half	flag	graph	n/a
57.1	4.91	control	1	0.766	\ \	\ /	\ /	2.0
62.01	4.91	control	1	0.439	\ /	/ \	/ \	2.0
66.92	4.91	control	1	0.515	/ /	/ \	\ \	n/a
71.83	4.91	control	1	0.664	/ /	/ \	/ /	1.0
76.74	4.91	control	1	0.741	\ \	\ /	/ \	n/a
81.65	4.91	control	1	0.863	\ /	/ \	\ /	1.0
86.56	4.91	control	1	0.604	\ /	/ \	/ /	n/a
91.47	4.91	control	1	0.703	/ /	/ \	/ \	2.0
96.38	4.91	control	1	0.621	/ \	/ /	\ /	n/a
101.29	4.91	control	1	0.505	\ \	\ /	\ \	1.0
110.2	4.91	O-P-	1	0.575	dung	squirm	cramp	n/a
115.11	4.91	O+P+	1	0.456	fool	cash	tool	1.0
120.02	4.91	O-P+	1	0.432	dense	crowned	hound	n/a
124.93	4.91	O-P+	1	0.61	mime	smash	rhyme	n/a
129.84	4.91	O+P+	1	0.455	ample	purse	nurse	2.0
134.75	4.91	O-P-	1	0.473	smooth	beard	uncle	n/a
139.66	4.91	O-P-	1	0.519	mold	twice	jack	n/a
144.57	4.91	O+P+	1	1.066	start	mind	part	1.0
149.48	4.91	O-P-	1	0.498	cracked	bunch	boots	n/a
154.39	4.91	O-P+	1	0.608	check	prize	rise	n/a
163.3	4.91	control	1	0.601	\ \	/ /	/ \	n/a
168.21	4.91	control	1	0.501	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.526	/ /	\ \	\ /	n/a
178.03	4.91	control	1	0.699	\ /	/ /	/ \	n/a
182.94	4.91	control	1	0.539	/ /	\ \	\ \	2.0
187.85	4.91	control	1	0.752	\ /	\ \	\ /	1.0
192.76	4.91	control	1	0.588	/ \	\ \	/ /	n/a
197.67	4.91	control	1	0.61	/ /	\ \	/ /	1.0
202.58	4.91	control	1	0.722	/ \	/ /	/ /	2.0
207.49	4.91	control	1	0.583	/ \	/ /	/ \	1.0
216.4	4.91	O-P+	1	0.492	duct	fused	bruised	n/a
221.31	4.91	O-P+	1	0.526	skim	blur	gym	n/a
226.22	4.91	O+P+	1	0.675	sawed	puke	flawed	1.0
231.13	4.91	O-P-	1	0.627	slash	zoos	snag	n/a
236.04	4.91	O-P-	1	0.523	groove	dwarf	lint	n/a
240.95	4.91	O+P+	1	0.589	stamp	glaze	blaze	2.0
245.86	4.91	O-P-	1	0.542	trust	blame	wind	n/a
250.77	4.91	O+P+	1	0.779	harm	lift	swift	2.0
255.68	4.91	O-P+	1	0.616	planned	sludge	bland	n/a
260.59	4.91	O-P-	1	0.53	racks	skit	tripe	n/a
269.5	4.91	control	1	0.539	/ \	\ \	\ \	2.0
274.41	4.91	control	1	0.88	/ /	\ /	/ \	n/a
279.32	4.91	control	1	0.637	/ /	/ \	\ \	n/a
284.23	4.91	control	1	0.405	\ \	/ /	\ \	1.0
289.14	4.91	control	1	0.511	\ /	/ \	/ /	n/a
294.05	4.91	control	1	0.513	/ /	\ /	\ /	2.0
298.96	4.91	control	1	0.769	/ /	\ /	/ /	1.0
303.87	4.91	control	1	0.633	\ \	/ \	/ /	n/a
