onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P+	1	1.045	stressed	spittle	jest	1.0
8.91	4.91	O-P-	1	1.713	shows	seep	pledge	n/a
13.82	4.91	O+P+	1	1.055	huddle	stung	rung	2.0
18.73	4.91	O-P-	1	0.852	bath	cope	leads	n/a
23.64	4.91	O-P+	1	0.975	quote	shut	throat	1.0
28.55	4.91	O-P+	1	0.926	dance	curve	serve	2.0
33.46	4.91	O-P-	1	0.856	ought	pace	king	n/a
38.37	4.91	O+P+	0	1.505	free	took	three	1.0
43.28	4.91	O+P+	1	1.218	hoop	weave	heave	2.0
48.19	4.91	O-P-	1	0.809	debt	gaze	grill	n/a
57.1	4.91	control	1	0.881	/ /	/ \	\ \	n/a
62.01	4.91	control	1	0.839	\ \	\ /	/ \	n/a
66.92	4.91	control	1	1.075	/ /	/ \	/ /	1.0
71.83	4.91	control	1	0.952	\ /	/ \	/ /	n/a
76.74	4.91	control	1	0.668	\ \	\ /	\ /	2.0
81.65	4.91	control	1	1.025	\ /	/ \	\ /	1.0
86.56	4.91	control	1	0.861	\ \	\ /	\ \	1.0
91.47	4.91	control	1	0.647	/ /	/ \	/ \	2.0
96.38	4.91	control	1	0.685	\ /	/ \	/ \	2.0
101.29	4.91	control	1	1.087	/ \	/ /	\ /	n/a
110.2	4.91	O+P+	1	0.924	blooms	prank	grooms	1.0
115.11	4.91	O-P-	1	0.969	mild	weep	drag	n/a
120.02	4.91	O-P-	1	1.32	people	girl	what	n/a
124.93	4.91	O+P+	1	0.815	wrong	round	ground	2.0
129.84	4.91	O-P+	1	1.014	clip	weed	plead	2.0
134.75	4.91	O-P-	1	1.096	shine	skip	cute	n/a
139.66	4.91	O-P-	1	1.289	town	gain	five	n/a
144.57	4.91	O-P+	1	1.107	throats	startle	quotes	1.0
149.48	4.91	O+P+	1	1.432	malt	coin	halt	1.0
154.39	4.91	O-P+	1	1.121	broth	sneer	smear	2.0
163.3	4.91	control	1	0.634	/ \	/ /	/ \	1.0
168.21	4.91	control	1	0.636	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.96	\ /	\ \	\ /	1.0
178.03	4.91	control	1	0.887	/ \	\ \	/ /	n/a
182.94	4.91	control	1	0.729	/ /	\ \	/ /	1.0
187.85	4.91	control	1	1.109	/ /	\ \	\ /	n/a
192.76	4.91	control	1	0.812	/ /	\ \	\ \	2.0
197.67	4.91	control	1	0.931	\ /	/ /	/ \	n/a
202.58	4.91	control	1	0.759	\ \	/ /	/ \	n/a
207.49	4.91	control	1	0.748	/ \	/ /	/ /	2.0
216.4	4.91	O+P+	1	0.927	squash	stacked	hacked	2.0
221.31	4.91	O-P-	1	0.827	wharf	gleam	dell	n/a
226.22	4.91	O+P+	1	1.502	black	fish	track	1.0
231.13	4.91	O+P+	1	0.894	book	floor	door	2.0
236.04	4.91	O-P+	1	1.332	clause	geese	niece	2.0
240.95	4.91	O-P-	1	1.108	blitz	vault	dump	n/a
245.86	4.91	O-P-	1	0.899	trait	vine	trance	n/a
250.77	4.91	O-P+	1	1.372	swirl	knit	pearl	1.0
255.68	4.91	O-P+	0	1.364	touch	than	such	1.0
260.59	4.91	O-P-	1	1.24	glade	clips	scrape	n/a
269.5	4.91	control	1	0.759	/ /	\ /	/ /	1.0
274.41	4.91	control	1	0.71	/ /	/ \	\ \	n/a
279.32	4.91	control	1	0.829	\ \	/ \	/ /	n/a
284.23	4.91	control	1	0.907	/ \	\ \	\ \	2.0
289.14	4.91	control	1	0.861	/ /	\ /	\ /	2.0
294.05	4.91	control	1	0.788	/ /	\ /	/ \	n/a
298.96	4.91	control	1	0.811	\ \	/ /	\ \	1.0
303.87	4.91	control	1	0.786	\ /	/ \	/ /	n/a
308.78	4.91	control	1	0.673	\ \	/ /	/ /	2.0
313.69	4.91	control	1	0.941	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	1.444	crop	stall	gulf	n/a
327.51	4.91	O+P+	1	1.207	knee	grass	tree	1.0
332.42	4.91	O+P+	0	1.041	dull	since	prince	2.0
337.33	4.91	O-P-	1	1.114	bleak	mice	dusk	n/a
342.24	4.91	O-P-	0	n/a	math	verb	spire	n/a
347.15	4.91	O+P+	0	1.025	knob	swan	blob	1.0
352.06	4.91	O-P-	1	1.231	pound	path	drop	n/a
356.97	4.91	O-P+	1	0.89	streak	sigh	meek	1.0
361.88	4.91	O-P+	1	1.792	wasp	rinse	mince	2.0
366.79	4.91	O-P+	1	1.271	want	caught	thought	2.0
375.7	4.91	control	1	0.772	/ \	\ /	\ /	2.0
380.61	4.91	control	1	0.852	\ \	\ /	/ \	n/a
385.52	4.91	control	1	0.757	\ /	/ /	/ /	2.0
390.43	4.91	control	1	0.727	\ \	/ /	\ /	n/a
395.34	4.91	control	0	2.081	/ \	\ /	/ \	1.0
400.25	4.91	control	1	0.729	\ \	/ \	/ \	2.0
405.16	4.91	control	1	0.892	\ /	/ /	\ /	1.0
410.07	4.91	control	1	0.882	\ \	/ \	\ \	1.0
414.98	4.91	control	1	0.882	/ \	/ /	\ /	n/a
419.89	4.91	control	0	2.092	/ /	\ \	\ /	n/a
428.8	4.91	O-P-	1	0.992	thrush	hauled	torch	n/a
433.71	4.91	O+P+	1	0.951	drowned	coyote	frowned	1.0
438.62	4.91	O+P+	1	1.581	stance	scorn	sworn	2.0
443.53	4.91	O-P+	1	0.791	dealt	close	felt	1.0
448.44	4.91	O-P-	1	1.234	glow	saint	string	n/a
453.35	4.91	O-P-	1	0.982	reared	slang	flex	n/a
458.26	4.91	O-P+	0	1.992	bowl	view	whole	1.0
463.17	4.91	O+P+	1	1.347	straw	wage	rage	2.0
