onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	Related	1	2.408	unfit	checkers	chess	2.0
8.93	4.93	Unrelated	1	1.75	ready	trade	square	n/a
13.86	4.93	Related	1	1.409	mom	saturn	dad	1.0
18.79	4.93	Related	1	1.639	thankful	algae	fungus	2.0
23.72	4.93	Unrelated	1	1.662	forgave	glide	maiden	n/a
28.65	4.93	Related	1	1.53	quack	ivy	duck	1.0
33.58	4.93	Related	0	1.898	skunk	cuff	stink	1.0
38.51	4.93	Unrelated	1	2.677	gently	tube	ceiling	n/a
43.44	4.93	Unrelated	1	2.025	weep	charcoal	dice	n/a
48.37	4.93	Related	1	1.313	fit	murder	kill	2.0
57.3	4.85	control	1	1.261	700	500	700	1.0
62.15	4.85	control	1	1.498	500	700	700	2.0
67.0	4.85	control	1	1.801	500	700	300	n/a
71.85	4.85	control	1	1.518	300	500	300	1.0
76.7	4.85	control	1	1.539	700	300	500	n/a
81.55	4.85	control	1	1.997	500	300	700	n/a
86.4	4.85	control	1	1.487	700	300	700	1.0
91.25	4.85	control	1	2.269	300	500	700	n/a
96.1	4.85	control	1	2.315	300	700	700	2.0
100.95	4.85	control	1	1.498	500	300	300	2.0
109.8	4.93	Unrelated	1	1.845	dessert	stir	bony	n/a
114.73	4.93	Related	1	1.388	ape	beaver	monkey	1.0
119.66	4.93	Related	1	1.785	rack	cologne	perfume	2.0
124.59	4.93	Unrelated	1	1.659	lion	steam	gap	n/a
129.52	4.93	Related	1	2.167	turn	love	hate	2.0
134.45	4.93	Unrelated	1	1.706	plug	select	belly	n/a
139.38	4.93	Related	1	1.421	dish	fancy	plate	1.0
144.31	4.93	Unrelated	1	1.459	june	lord	oil	n/a
149.24	4.93	Related	0	1.797	sunny	pepper	cloudy	1.0
154.17	4.93	Related	1	2.133	cooling	teach	learn	2.0
163.1	4.85	control	1	1.619	500	300	700	n/a
167.95	4.85	control	1	1.412	300	500	500	2.0
172.8	4.85	control	1	2.622	500	300	500	1.0
177.65	4.85	control	1	1.345	700	500	300	n/a
182.5	4.85	control	1	2.575	700	500	500	2.0
187.35	4.85	control	0	1.911	700	300	300	2.0
192.2	4.85	control	1	2.547	500	700	500	1.0
197.05	4.85	control	0	2.433	300	700	300	1.0
201.9	4.85	control	1	2.852	700	300	500	n/a
206.75	4.85	control	0	n/a	300	700	500	n/a
215.6	4.93	Unrelated	1	2.539	flow	warm	teaching	n/a
220.53	4.93	Related	1	1.733	earth	sat	ground	1.0
225.46	4.93	Unrelated	1	2.586	drinking	suit	poem	n/a
230.39	4.93	Unrelated	1	2.801	flood	spell	dim	n/a
235.32	4.93	Related	0	2.612	awful	fuel	gas	2.0
240.25	4.93	Related	0	n/a	without	again	repeat	2.0
245.18	4.93	Unrelated	1	2.508	standard	heavy	wish	n/a
250.11	4.93	Related	1	1.856	web	explode	spider	1.0
255.04	4.93	Related	0	n/a	trash	hive	garbage	1.0
