onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	Unrelated	1	1.675	gravel	pants	turkey	n/a
8.91	4.91	Related	1	1.57	driver	silent	quiet	2.0
13.82	4.91	Related	1	1.661	tag	sock	shoe	2.0
18.73	4.91	Unrelated	1	1.21	able	mother	party	n/a
23.64	4.91	Related	1	1.464	throw	weapon	catch	1.0
28.55	4.91	Related	1	2.111	tablet	seafood	shrimp	2.0
33.46	4.91	Related	1	2.121	question	behind	answer	1.0
38.37	4.91	Unrelated	1	1.635	club	paid	thinking	n/a
43.28	4.91	Related	1	1.77	syrup	flown	pancakes	1.0
48.19	4.91	Unrelated	1	1.44	nursery	curtain	roar	n/a
57.1	4.91	control	1	1.366	\ /	/ \	\ /	1.0
62.01	4.91	control	1	1.497	\ /	/ \	/ \	2.0
66.92	4.91	control	1	1.303	\ \	\ /	/ \	n/a
71.83	4.91	control	1	1.472	/ /	/ \	/ /	1.0
76.74	4.91	control	1	1.791	\ /	/ \	/ /	n/a
81.65	4.91	control	1	1.651	/ \	/ /	\ /	n/a
86.56	4.91	control	1	1.336	\ \	\ /	\ \	1.0
91.47	4.91	control	1	1.114	/ /	/ \	\ \	n/a
96.38	4.91	control	1	2.075	/ /	/ \	/ \	2.0
101.29	4.91	control	1	1.947	\ \	\ /	\ /	2.0
110.2	4.91	Related	1	1.557	dog	vote	cat	1.0
115.11	4.91	Related	1	1.801	razor	drag	blade	1.0
120.02	4.91	Unrelated	1	2.317	choppy	bandit	thorn	n/a
124.93	4.91	Related	1	1.966	finish	recall	end	1.0
129.84	4.91	Unrelated	1	1.518	chunk	hoof	stitch	n/a
134.75	4.91	Unrelated	1	2.689	roller	kettle	chalk	n/a
139.66	4.91	Related	1	1.587	peanut	oyster	clam	2.0
144.57	4.91	Unrelated	1	1.552	stream	guy	rear	n/a
149.48	4.91	Related	0	1.931	priest	sketch	draw	2.0
154.39	4.91	Related	1	1.637	stinging	washer	dryer	2.0
163.3	4.91	control	1	1.443	\ \	/ /	/ \	n/a
168.21	4.91	control	1	1.444	\ /	\ \	\ \	2.0
173.12	4.91	control	0	1.52	\ /	\ \	\ /	1.0
178.03	4.91	control	1	1.326	/ /	\ \	\ /	n/a
182.94	4.91	control	1	1.524	/ /	\ \	\ \	2.0
187.85	4.91	control	1	1.525	/ \	/ /	/ /	2.0
192.76	4.91	control	1	2.013	/ /	\ \	/ /	1.0
197.67	4.91	control	1	1.583	/ \	/ /	/ \	1.0
202.58	4.91	control	1	1.524	/ \	\ \	/ /	n/a
207.49	4.91	control	0	1.708	\ /	/ /	/ \	n/a
216.4	4.91	Related	1	2.007	tenth	circus	clown	2.0
221.31	4.91	Unrelated	1	2.103	blanket	cried	split	n/a
226.22	4.91	Related	1	1.405	dipping	smudge	smear	2.0
231.13	4.91	Unrelated	1	1.783	wing	hunter	lemon	n/a
236.04	4.91	Related	1	1.618	rib	jello	pudding	2.0
240.95	4.91	Related	1	1.822	server	flashy	waiter	1.0
245.86	4.91	Related	1	1.561	dime	fuss	nickel	1.0
250.77	4.91	Unrelated	1	1.647	pillow	bounce	grinding	n/a
255.68	4.91	Related	1	1.669	left	got	right	1.0
260.59	4.91	Unrelated	0	2.336	cream	pipe	grip	n/a
269.5	4.91	control	1	1.539	/ \	\ \	\ \	2.0
274.41	4.91	control	0	2.401	/ /	\ /	/ \	n/a
279.32	4.91	control	1	1.262	/ /	/ \	\ \	n/a
284.23	4.91	control	1	1.425	\ \	/ /	\ \	1.0
289.14	4.91	control	1	1.153	\ \	/ /	/ /	2.0
294.05	4.91	control	1	1.425	/ /	\ /	\ /	2.0
298.96	4.91	control	1	1.152	\ /	/ \	/ /	n/a
303.87	4.91	control	1	2.467	/ \	\ \	/ \	1.0
308.78	4.91	control	1	1.867	/ /	\ /	/ /	1.0
313.69	4.91	control	1	1.524	\ \	/ \	/ /	n/a
322.6	4.91	Related	1	1.889	yours	arrive	mine	1.0
327.51	4.91	Unrelated	1	1.743	took	system	head	n/a
332.42	4.91	Related	1	1.543	how	little	big	2.0
337.33	4.91	Unrelated	1	1.673	scar	mister	tunnel	n/a
342.24	4.91	Unrelated	1	1.666	rich	store	pointed	n/a
347.15	4.91	Related	0	2.662	angle	achieve	goal	2.0
352.06	4.91	Related	0	n/a	racket	stealth	tennis	1.0
356.97	4.91	Unrelated	1	2.705	tangle	pretend	barker	n/a
361.88	4.91	Related	1	2.147	glue	lifting	sticky	1.0
366.79	4.91	Related	1	1.423	bush	thunder	lightning	2.0
375.7	4.91	control	1	1.426	\ \	\ /	/ \	n/a
380.61	4.91	control	1	1.646	/ \	\ /	\ /	2.0
385.52	4.91	control	0	1.446	/ \	/ /	\ /	n/a
390.43	4.91	control	0	1.501	\ /	/ /	\ /	1.0
395.34	4.91	control	1	1.26	\ \	/ \	/ \	2.0
400.25	4.91	control	1	1.669	\ \	/ /	\ /	n/a
405.16	4.91	control	1	1.879	\ \	/ \	\ \	1.0
410.07	4.91	control	1	1.388	/ \	\ /	/ \	1.0
414.98	4.91	control	1	1.581	\ /	/ /	/ /	2.0
419.89	4.91	control	1	2.017	/ /	\ \	\ /	n/a
428.8	4.91	Related	0	2.848	lend	instinct	borrow	1.0
433.71	4.91	Unrelated	1	2.257	hearing	formed	bottle	n/a
438.62	4.91	Related	1	1.76	mask	cheese	cracker	2.0
443.53	4.91	Related	1	1.267	plenty	motion	movement	2.0
448.44	4.91	Related	1	1.776	cow	silver	gold	2.0
453.35	4.91	Unrelated	1	1.873	tilting	jewel	moan	n/a
458.26	4.91	Unrelated	1	1.968	corn	pencil	blame	n/a
463.17	4.91	Related	0	1.769	thin	jack	fat	1.0
468.08	4.91	Unrelated	1	1.839	starter	pigeon	gamble	n/a
472.99	4.91	Related	1	1.89	temper	deaf	tantrum	1.0
481.9	4.91	control	0	2.675	/ \	/ /	/ /	2.0
486.81	4.91	control	1	1.539	\ \	/ \	/ \	2.0
491.72	4.91	control	1	1.284	\ \	/ \	\ /	n/a
496.63	4.91	control	1	1.805	/ /	/ \	/ /	1.0
501.54	4.91	control	1	2.09	\ /	\ \	\ \	2.0
506.45	4.91	control	1	2.158	\ /	/ /	\ \	n/a
511.36	4.91	control	1	2.172	/ \	\ \	/ /	n/a
516.27	4.91	control	1	1.743	/ \	\ \	/ \	1.0
521.18	4.91	control	1	2.028	\ \	\ /	\ \	1.0
526.09	4.91	control	1	1.908	/ /	\ /	\ \	n/a
